key	value	is_plural	phrase
aeroway	aerodrome	0	aeroport
aeroway	aerodrome	1	aeroports
amenity	atm	0	caixer automàtic
amenity	atm	1	caixers automàtics
amenity	auditorium	0	auditori
amenity	auditorium	1	auditoris
amenity	bank	0	banc
amenity	bank	1	bancs
amenity	bar	0	bar
amenity	bar	1	bars
amenity	bench	0	banc
amenity	bench	1	bancs
amenity	bicycle_rental	0	lloguer de bicicletes
amenity	bicycle_rental	1	lloguers de bicicletes
amenity	brothel	0	prostíbul
amenity	brothel	1	prostíbuls
amenity	bureau_de_change	0	oficina de canvi
amenity	bureau_de_change	1	oficines de canvi
amenity	bus_station	0	estació d'autobusos
amenity	bus_station	1	estacions d'autobusos
amenity	cafe	0	cafè
amenity	cafe	1	cafès
amenity	car_rental	0	lloguer de cotxes
amenity	car_rental	1	lloguers de cotxes
amenity	casino	0	casino
amenity	casino	1	casinos
amenity	cinema	0	cinema
amenity	cinema	1	cinemes
amenity	clinic	0	clínica
amenity	clinic	1	clíniques
amenity	club	0	club
amenity	club	1	clubs
amenity	courthouse	0	jutjat
amenity	courthouse	1	jutjats
amenity	crematorium	0	crematori
amenity	crematorium	1	crematoris
amenity	dentist	0	dentista
amenity	dentist	1	dentistes
amenity	doctors	0	metge
amenity	doctors	1	metges
amenity	drinking_water	0	aigua potable
amenity	drinking_water	1	aigües potables
amenity	driving_school	0	autoescola
amenity	driving_school	1	autoescoles
amenity	embassy	0	ambaixada
amenity	embassy	1	ambaixades
amenity	emergency_phone	0	telèfon d'emergència
amenity	emergency_phone	1	telèfons d'emergència
amenity	fire_station	0	parc de bombers
amenity	fire_station	1	parcs de bombers
amenity	fountain	0	font
amenity	fountain	1	fonts
amenity	fuel	0	gasolinera
amenity	fuel	1	gasolineres
amenity	grave_yard	0	cementiri
amenity	grave_yard	1	cementiris
amenity	health_centre	0	centre de salut
amenity	health_centre	1	centres de salut
amenity	hospital	0	hospital
amenity	hospital	1	hospitals
amenity	hotel	0	hotel
amenity	hotel	1	hotels
amenity	ice_cream	0	gelat
amenity	ice_cream	1	gelats
amenity	kindergarten	0	jardí d'infància
amenity	kindergarten	1	jardins d'infància
amenity	library	0	biblioteca
amenity	library	1	biblioteques
amenity	market	0	mercat
amenity	market	1	mercats
amenity	nightclub	0	club nocturn
amenity	nightclub	1	clubs nocturns
amenity	park	0	parc
amenity	park	1	parcs
amenity	parking	0	pàrquing
amenity	parking	1	pàrquings
amenity	pharmacy	0	farmàcia
amenity	pharmacy	1	farmàcies
amenity	place_of_worship	0	lloc de culte
amenity	place_of_worship	1	llocs de culte
amenity	police	0	policia
amenity	police	1	policies
amenity	post_box	0	bústia
amenity	post_box	1	bústies
amenity	post_office	0	oficina de correus
amenity	post_office	1	oficines de correus
amenity	preschool	0	pre-escola
amenity	preschool	1	pre-escoles
amenity	prison	0	presó
amenity	prison	1	presons
amenity	pub	0	pub
amenity	pub	1	pubs
amenity	public_building	0	edifici públic
