key	value	is_plural	phrase
aeroway	aerodrome	0	aireportu
aeroway	aerodrome	1	aireportus
amenity	arts_centre	0	arte zentroa
amenity	arts_centre	1	arte zentroas
amenity	auditorium	0	entzunareto
amenity	auditorium	1	entzunaretos
amenity	bank	0	banku
amenity	bank	1	bankus
amenity	bar	0	taberna
amenity	bar	1	tabernas
amenity	bicycle_rental	0	txirrindu alokairua
amenity	bicycle_rental	1	txirrindu alokairuas
amenity	brothel	0	putetxe
amenity	brothel	1	putetxes
amenity	bureau_de_change	0	diru-truke bulegoa
amenity	bureau_de_change	1	diru-truke bulegoas
amenity	bus_station	0	autobus-geltoki
amenity	bus_station	1	autobus-geltokis
amenity	cafe	0	kafetegi
amenity	cafe	1	kafetegis
amenity	car_rental	0	ibilgailu-alokairu
amenity	car_rental	1	ibilgailu-alokairus
amenity	car_wash	0	auto garbiketa
amenity	car_wash	1	auto garbiketas
amenity	casino	0	kasino
amenity	casino	1	kasinos
amenity	cinema	0	zinema
amenity	cinema	1	zinemas
amenity	clinic	0	klinika
amenity	clinic	1	klinikas
amenity	club	0	diskoteka
amenity	club	1	diskotekas
amenity	community_centre	0	komunitate zentroa
amenity	community_centre	1	komunitate zentroas
amenity	courthouse	0	epaitegia
amenity	courthouse	1	epaitegias
amenity	crematorium	0	errauste labe
amenity	crematorium	1	errauste labes
amenity	dentist	0	dentista
amenity	dentist	1	dentistas
amenity	doctors	0	medikuak
amenity	doctors	1	medikuaks
amenity	drinking_water	0	edateko ur
amenity	drinking_water	1	edateko urs
amenity	driving_school	0	autoeskola
amenity	driving_school	1	autoeskolas
amenity	embassy	0	enbaxada
amenity	embassy	1	enbaxadas
amenity	emergency_phone	0	larrialdi telefonoa
amenity	emergency_phone	1	larrialdi telefonoas
amenity	fast_food	0	janari azkarra
amenity	fast_food	1	janari azkarras
amenity	ferry_terminal	0	ferry terminal
amenity	ferry_terminal	1	ferry terminals
amenity	fire_station	0	suhiltzaileak
amenity	fire_station	1	suhiltzaileaks
amenity	fountain	0	iturri
amenity	fountain	1	iturris
amenity	grave_yard	0	hilerri
amenity	grave_yard	1	hilerris
amenity	gym	0	osasun zentroa / gimnasioa
amenity	gym	1	osasun zentroa / gimnasioas
amenity	health_centre	0	osasun zentroa
amenity	health_centre	1	osasun zentroas
amenity	hospital	0	ospitalea
amenity	hospital	1	ospitaleas
amenity	hotel	0	hotel
amenity	hotel	1	hotels
amenity	ice_cream	0	izozkiak
amenity	ice_cream	1	izozkiaks
amenity	kindergarten	0	haurtzaindegi
amenity	kindergarten	1	haurtzaindegis
amenity	library	0	liburutegia
amenity	library	1	liburutegias
amenity	market	0	merkatu
amenity	market	1	merkatus
amenity	marketplace	0	merkatua
amenity	marketplace	1	merkatuas
amenity	mountain_rescue	0	mendiko erreskatea
amenity	mountain_rescue	1	mendiko erreskateas
amenity	nightclub	0	gau-klub
amenity	nightclub	1	gau-klubs
amenity	nursery	0	haurtzaindegi
amenity	nursery	1	haurtzaindegis
amenity	office	0	bulego
amenity	office	1	bulegos
amenity	park	0	parke
amenity	park	1	parkes
amenity	parking	0	aparkaleku
amenity	parking	1	aparkalekus
amenity	pharmacy	0	farmazia
amenity	pharmacy	1	farmazias
amenity	place_of_worship	0	otoitzerako lekua
amenity	place_of_worship	1	otoitzerako lekuas
amenity	police	0	polizia
amenity	police	1	polizias
amenity	post_box	0	postontzia
amenity	post_box	1	postontzias
amenity	post_office	0	postetxe
amenity	post_office	1	postetxes
amenity	preschool	0	eskolaurre
amenity	preschool	1	eskolaurres
amenity	prison	0	espetxe
amenity	prison	1	espetxes
amenity	public_building	0	eraikin publiko
amenity	public_building	1	eraikin publikos
amenity	public_market	0	herri azoka
amenity	public_market	1	herri azokas
amenity	recycling	0	birziklatze gune
amenity	recycling	1	birziklatze gunes
amenity	restaurant	0	jatetxe
amenity	restaurant	1	jatetxes
amenity	sauna	0	sauna
amenity	sauna	1	saunas
amenity	school	0	ikastetxe
amenity	school	1	ikastetxes
amenity	shop	0	denda
amenity	shop	1	dendas
amenity	shopping	0	erosketak
amenity	shopping	1	erosketaks
amenity	studio	0	estudio
amenity	studio	1	estudios
amenity	supermarket	0	supermerkatu
amenity	supermarket	1	supermerkatus
amenity	taxi	0	taxi
amenity	taxi	1	taxis
amenity	telephone	0	telefono publiko
amenity	telephone	1	telefono publikos
amenity	theatre	0	antzokia
amenity	theatre	1	antzokias
amenity	toilets	0	komunak
amenity	toilets	1	komunaks
amenity	townhall	0	udaletxe
amenity	townhall	1	udaletxes
amenity	university	0	unibertsitate
amenity	university	1	unibertsitates
amenity	vending_machine	0	salmenta automatiko
amenity	vending_machine	1	salmenta automatikos
amenity	wifi	0	wifi sarbidea
amenity	wifi	1	wifi sarbideas
amenity	youth_centre	0	gaztelekua
amenity	youth_centre	1	gaztelekuas
boundary	administrative	0	muga administratiboa
boundary	administrative	1	muga administratiboas
building	bunker	0	bunker
building	bunker	1	bunkers
building	chapel	0	kapera
building	chapel	1	kaperas
building	church	0	eliza
building	church	1	elizas
building	city_hall	0	udaletxea
building	city_hall	1	udaletxeas
building	garage	0	garajea
building	garage	1	garajeas
building	hospital	0	ospitale erakina
building	hospital	1	ospitale erakinas
building	hotel	0	hotela
building	hotel	1	hotelas
building	house	0	etxe
building	house	1	etxes
building	industrial	0	eraikin industriala
building	industrial	1	eraikin industrialas
building	public	0	eraikin publiko
building	public	1	eraikin publikos
building	school	0	eskola eraikina
building	school	1	eskola eraikinas
building	shop	0	denda
building	shop	1	dendas
building	stadium	0	estadio
building	stadium	1	estadios
building	store	0	denda
building	store	1	dendas
building	tower	0	dorre
building	tower	1	dorres
building	train_station	0	tren geltokia
building	train_station	1	tren geltokias
building	university	0	unibertsitate eraikina
building	university	1	unibertsitate eraikinas
building	&quot;yes&quot;	0	eraikina
building	&quot;yes&quot;	1	eraikinas
highway	bus_stop	0	autobus-geraleku
highway	bus_stop	1	autobus-geralekus
highway	construction	0	eraikitze-lanetan dagoen autopista
highway	construction	1	eraikitze-lanetan dagoen autopistas
highway	emergency_access_point	0	larrialdi sarbide gunea
highway	emergency_access_point	1	larrialdi sarbide guneas
highway	footway	0	oinezkoen bide
highway	footway	1	oinezkoen bides
highway	gate	0	ate
highway	gate	1	ates
highway	motorway	0	autobide
highway	motorway	1	autobides
highway	motorway_link	0	autobidea
highway	motorway_link	1	autobideas
highway	platform	0	nasa
highway	platform	1	nasas
highway	primary	0	lehen mailako errepide
highway	primary	1	lehen mailako errepides
highway	primary_link	0	errepide nagusi
highway	primary_link	1	errepide nagusis
highway	residential	0	bizileku
highway	residential	1	bizilekus
highway	road	0	errepide
highway	road	1	errepides
highway	secondary	0	bigarren mailako errepide
highway	secondary	1	bigarren mailako errepides
highway	secondary_link	0	bigarren mailako errepide
highway	secondary_link	1	bigarren mailako errepides
highway	service	0	zerbitzu errepidea
highway	service	1	zerbitzu errepideas
highway	services	0	autobide zerbitzuak
highway	services	1	autobide zerbitzuaks
highway	steps	0	eskailera-mailak
highway	steps	1	eskailera-mailaks
highway	tertiary	0	hirugarren mailako errepide
