key	value	is_plural	phrase
aeroway	aerodrome	0	lentokenttä
aeroway	aerodrome	1	lentokentät
aeroway	aerodrome	1	lentokenttiä
amenity	arts_centre	0	taidekeskus
amenity	arts_centre	1	taidekeskukset
amenity	arts_centre	1	taidekeskuksia
amenity	atm	0	pankkiautomaatti
amenity	atm	1	pankkiautomaatit
amenity	auditorium	0	auditorio
amenity	auditorium	1	auditoriot
amenity	bank	0	pankki
amenity	bank	1	pankit
amenity	bench	0	penkki
amenity	bench	1	penkit
amenity	bicycle_parking	0	pyöräparkki
amenity	bicycle_parking	1	pyöräparkit
amenity	bicycle_rental	0	pyörävuokraamo
amenity	bicycle_rental	1	pyörävuokraamot
amenity	brothel	0	bordelli
amenity	brothel	1	bordellit
amenity	bureau_de_change	0	rahanvaihto
amenity	bureau_de_change	1	rahanvaihtajat
amenity	bus_station	0	linja-autoasema
amenity	bus_station	1	linja-autoasemat
amenity	cafe	0	kahvila
amenity	cafe	1	kahvilat
amenity	car_rental	0	autovuokraamo
amenity	car_rental	1	autovuokraamot
amenity	car_wash	0	autopesu
amenity	car_wash	1	autopesut
amenity	casino	0	kasino
amenity	casino	1	kasinot
amenity	cinema	0	elokuvateatteri
amenity	cinema	1	elokuvateatterit
amenity	clinic	0	klinikka
amenity	clinic	1	klinikat
amenity	courthouse	0	oikeustalo
amenity	courthouse	1	oikeustalot
amenity	crematorium	0	krematorio
amenity	crematorium	1	krematoriot
amenity	dentist	0	hammaslääkäri
amenity	dentist	1	hammaslääkärit
amenity	doctors	0	lääkäri
amenity	doctors	1	lääkäreitä
amenity	drinking_water	0	juomavesi
amenity	drinking_water	1	juomavettä
amenity	embassy	0	lähetystö
amenity	embassy	1	lähetystöt
amenity	emergency_phone	0	hätäpuhelin
amenity	emergency_phone	1	hätäpuhelimet
amenity	fast_food	0	pikaruoka
amenity	fast_food	1	pikaruokaa
amenity	ferry_terminal	0	lauttaterminaali
amenity	ferry_terminal	1	lauttaterminaalit
amenity	fire_hydrant	0	paloposti
amenity	fire_hydrant	1	palopostit
amenity	fire_station	0	paloasema
amenity	fire_station	1	paloasemat
amenity	fountain	0	lähde
amenity	fountain	1	lähteet
amenity	fuel	0	bensa-asema
amenity	fuel	1	bensa-asemat
amenity	grave_yard	0	hautausmaa
amenity	grave_yard	1	hautausmaat
amenity	gym	0	liikuntakeskus / kuntosali
amenity	gym	1	liikuntakeskukset / kuntosalit
amenity	health_centre	0	terveyskeskus
amenity	health_centre	1	terveyskeskukset
amenity	hospital	0	sairaala
amenity	hospital	1	sairaalat
amenity	hotel	0	hotelli
amenity	hotel	1	hotellit
amenity	hunting_stand	0	metsästyslava
amenity	hunting_stand	1	metsästyslavat
amenity	ice_cream	0	jäätelö
amenity	ice_cream	1	jäätelöä
amenity	kindergarten	0	päiväkoti
amenity	kindergarten	1	päiväkodit
amenity	library	0	kirjasto
amenity	library	1	kirjastot
amenity	marketplace	0	tori
amenity	marketplace	1	torit
amenity	nightclub	0	yökerho
amenity	nightclub	1	yökerhot
amenity	office	0	toimisto
amenity	office	1	toimistot
amenity	park	0	puisto
amenity	park	1	puistot
amenity	parking	0	parkkipaikka
amenity	parking	1	parkkipaikkat
amenity	pharmacy	0	apteekki
amenity	pharmacy	1	apteekit
amenity	police	0	poliisi
amenity	police	1	poliisit
amenity	police	0	poliisiasema
amenity	police	1	poliisiasemat
amenity	post_box	0	kirjelaatikko
amenity	post_box	0	postilaatikko
amenity	post_box	1	kirjelaatikot
amenity	post_box	1	postilaatikot
amenity	post_office	0	postitoimisto
amenity	post_office	1	postitoimistot
amenity	preschool	0	esikoulu
amenity	preschool	1	esikoulut
amenity	prison	0	vankila
amenity	prison	1	vankilat
amenity	pub	0	pubi
amenity	pub	1	pubit
amenity	pub	1	pubeja
amenity	public_building	0	julkinen rakennus
amenity	public_building	1	julkiset rakennukset
amenity	reception_area	0	vastaanottoalue
amenity	reception_area	1	vastaanottoalueet
amenity	recycling	0	kierrätyspaikka
amenity	recycling	1	kierrätyspaikat
amenity	restaurant	0	ravintola
amenity	restaurant	1	ravintolat
amenity	restaurant	1	ravintoloita
amenity	retirement_home	0	vanhainkoti
amenity	retirement_home	1	vanhainkodit
amenity	sauna	0	sauna
amenity	sauna	1	saunat
amenity	school	0	koulu
amenity	school	1	koulut
amenity	shop	0	kauppa
amenity	shop	1	kaupat
amenity	shopping	0	kauppa
amenity	shopping	1	kaupat
amenity	studio	0	studio
amenity	studio	1	studiot
amenity	supermarket	0	supermarketti
amenity	supermarket	1	supermarketit
amenity	taxi	0	taksi
amenity	taxi	1	taksit
amenity	telephone	0	puhelinkoppi
amenity	telephone	1	puhelinkopit
amenity	theatre	0	teatteri
amenity	theatre	1	teatterit
amenity	toilets	0	wc
amenity	toilets	1	wct
amenity	toilets	0	vessa
amenity	toilets	1	vessat
amenity	townhall	0	kaupungintalo
amenity	townhall	1	kaupungintalot
amenity	university	0	yliopisto
amenity	university	1	yliopistot
amenity	vending_machine	0	myyntiautomaatti
amenity	vending_machine	1	myyntiautomaatit
amenity	veterinary	0	eläinlääkäri
amenity	veterinary	1	eläinlääkärit
amenity	waste_basket	0	roskakori
amenity	waste_basket	1	roskakorit
amenity	wifi	0	langaton lähiverkko
amenity	wifi	1	langattomat lähiverkot
amenity	youth_centre	0	nuorisokeskus
amenity	youth_centre	1	nuorisokeskukset
boundary	administrative	0	hallinnollinen raja
boundary	administrative	1	hallinnolliset rajat
building	apartments	0	talo
building	apartments	1	talot
building	bunker	0	bunkkeri
building	bunker	1	bunkkerit
building	church	0	kirkko
building	church	1	kirkot
building	flats	0	kerrostalo
building	flats	1	kerrostalot
building	garage	0	autotalli
building	garage	1	autotallit
building	hospital	0	sairaalarakennus
building	hospital	1	sairaalarakennukset
building	hotel	0	hotelli
building	hotel	1	hotellit
building	house	0	talo
building	house	1	talot
building	office	0	toimistorakennus
building	office	1	toimistorakennukset
building	public	0	julkinen rakennus
building	public	1	julkiset rakennukset
building	residential	0	asuinrakennus
building	residential	1	asuinrakennukset
building	school	0	koulurakennus
building	school	1	koulurakennukset
building	shop	0	kauppa
building	shop	1	kaupat
building	stadium	0	stadion
building	stadium	1	stadionit
building	terrace	0	rivitalo
building	terrace	1	rivitalot
building	tower	0	torni
building	tower	1	tornit
building	train_station	0	rautatieasema
building	train_station	1	rautatieasemat
building	university	0	yliopistorakennus
building	university	1	yliopistorakennukset
building	&quot;yes&quot;	0	rakennus
building	&quot;yes&quot;	1	rakennukset
highway	bus_stop	0	bussipysäkki
highway	bus_stop	1	bussipysäkkit
highway	byway	0	sivutie
highway	byway	1	sivuties
highway	construction	0	rakenteilla oleva tie
highway	construction	1	rakenteilla olevat tiet
highway	cycleway	0	pyörätie
highway	cycleway	1	pyörätiet
highway	distance_marker	0	etäisyysmerkki
highway	distance_marker	1	etäisyysmerkit
highway	footway	0	polku
highway	footway	0	jalkakäytävä
highway	footway	0	kävelytie
highway	footway	1	polut
highway	footway	1	jalkakäytävät
highway	footway	1	kävelytiet
highway	gate	0	portti
highway	gate	1	portit
highway	living_street	0	asuinkatu
highway	living_street	1	asuinkadut
highway	motorway	0	moottoritie
highway	motorway	1	moottoritiet
highway	motorway_junction	0	liittymä
highway	motorway_junction	0	moottoritien liittymä
highway	motorway_junction	1	liittymät
highway	motorway_junction	1	moottoritien liittymät
highway	motorway_link	0	moottoritie
highway	motorway_link	1	moottoritiet
highway	path	0	polku
highway	path	1	polut
highway	pedestrian	0	kävelykatu
highway	pedestrian	1	kävelykadut
highway	primary	0	kantatie
highway	primary	1	kantatiet
highway	primary_link	0	kantatie
highway	primary_link	1	kantatiet
highway	raceway	0	kilparata
highway	raceway	1	kilparadat
highway	residential	0	asuinkatu
highway	residential	1	asuinkadut
highway	road	0	tie
highway	road	1	tiet
highway	secondary	0	seututie
highway	secondary	1	seututiet
highway	secondary_link	0	seututie
highway	secondary_link	1	seututiet
highway	steps	0	portaat
highway	steps	1	portaita
highway	tertiary	0	yhdystie
highway	tertiary	1	yhdystiet
highway	track	0	metsätie
highway	track	1	metsätiet
highway	trunk	0	valtatie
highway	trunk	1	valtatiet
highway	trunk_link	0	valtatie
highway	trunk_link	1	valtatiet
highway	unsurfaced	0	päällystämätön tie
highway	unsurfaced	1	päällystämättämät tiet
historic	battlefield	0	taistelukenttä
historic	battlefield	1	taistelukentät
historic	building	0	rakennus
historic	building	1	rakennukset
historic	castle	0	linna
historic	castle	1	linnat
historic	church	0	kirkko
historic	church	1	kirkot
historic	mine	0	kaivos
historic	mine	1	kaivokset
historic	monument	0	muistomerkki
historic	monument	1	muistomerkit
historic	museum	0	museo
historic	museum	1	museot
historic	ruins	0	rauniot
historic	ruins	1	raunioita
historic	tower	0	torni
historic	tower	1	tornit
historic	wreck	0	hylky
historic	wreck	1	hylyt
landuse	cemetery	0	hautausmaa
landuse	cemetery	1	hautausmaat
landuse	commercial	0	kaupallinen alue
landuse	commercial	1	kaupalliset alueet
landuse	construction	0	rakennustyömaa
landuse	construction	1	rakennustyömaat
landuse	forest	0	metsä
landuse	forest	1	metsät
landuse	grass	0	nurmikko
landuse	grass	1	nurmikot
landuse	industrial	0	teollisuusalue
landuse	industrial	1	teollisuusalueet
landuse	landfill	0	kaatopaikka
landuse	landfill	1	kaatopaikat
landuse	meadow	0	niitty
landuse	meadow	1	niityt
landuse	military	0	sotilasalue
landuse	military	1	sotilasalueet
landuse	mine	0	kaivos
landuse	mine	1	kaivokset
landuse	mountain	0	vuori
landuse	mountain	1	vuoret
landuse	park	0	puisto
landuse	park	1	puistot
landuse	quarry	0	avolouhos
landuse	quarry	1	avolouhokset
landuse	railway	0	rautatie
landuse	railway	1	rautatiet
landuse	residential	0	asuinalue
landuse	residential	1	asuinalueet
landuse	wetland	0	kosteikko
landuse	wetland	1	kosteikot
landuse	wood	0	metsä
landuse	wood	1	metsät
leisure	fishing	0	kalastusalue
leisure	fishing	1	kalastusalueet
leisure	garden	0	puutarha
leisure	garden	1	puutarhat
leisure	golf_course	0	golf-kenttä
leisure	golf_course	1	golf-kentät
leisure	ice_rink	0	luistelurata
leisure	ice_rink	1	luisteluradat
leisure	marina	0	huvivenesatama
leisure	marina	1	huvivenesatamat
leisure	miniature_golf	0	minigolf
leisure	miniature_golf	1	minigolfit
leisure	park	0	puisto
leisure	park	1	puistot
leisure	pitch	0	urheilukenttä
leisure	pitch	1	urheilukentät
leisure	playground	0	leikkikenttä
leisure	playground	1	leikkikentät
leisure	slipway	0	vesillelaskuramppi
leisure	slipway	1	vesillelaskurampit
leisure	sports_centre	0	urheilukeskus
leisure	sports_centre	1	urheilukeskukset
leisure	stadium	0	stadioni
leisure	stadium	1	stadionit
leisure	swimming_pool	0	uima-allas
leisure	swimming_pool	1	uima-altaat
leisure	track	0	juoksurata
leisure	track	1	juoksuradat
leisure	water_park	0	vesipuisto
leisure	water_park	1	vesipuistot
natural	bay	0	lahti
natural	bay	1	lahdet
natural	beach	0	hiekkaranta
natural	beach	1	hiekkarannat
natural	cave_entrance	0	luolan sisäänkäynti
natural	cave_entrance	1	luolan sisäänkäynnit
natural	channel	0	kanava
natural	channel	1	kanavat
natural	cliff	0	jyrkänne
natural	cliff	1	jyrkänteet
natural	coastline	0	rantaviiva
natural	coastline	1	rantaviivat
natural	crater	0	kraatteri
natural	crater	1	kraatterit
natural	fell	0	tunturi
natural	fell	1	tunturit
natural	fjord	0	vuono
natural	fjord	1	vuonot
natural	geyser	0	geysir
natural	geyser	1	geysirit
natural	glacier	0	jäätikkö
natural	glacier	1	jäätiköt
natural	hill	0	mäki
natural	hill	1	mäet
natural	island	0	saari
natural	island	1	saaret
natural	land	0	maa
natural	land	1	maata
natural	mud	0	muta
natural	mud	1	mutaa
natural	peak	0	huippu
natural	peak	1	huiput
natural	reef	0	riutta
natural	reef	1	riutat
natural	river	0	joki
natural	river	1	joet
natural	rock	0	kivi
natural	rock	1	kivet
natural	rock	1	kiviä
natural	spring	0	lähde
natural	spring	1	lähteet
natural	tree	0	puu
natural	tree	1	puut
natural	valley	0	laakso
natural	valley	1	laaksot
natural	volcano	0	tulivuori
natural	volcano	1	tulivuoret
natural	water	0	vesi
natural	water	1	vettä
natural	water	0	järvi
natural	water	1	järvet
natural	water	1	järviä
natural	wetland	0	kosteikko
natural	wetland	1	kosteikot
natural	wetlands	0	kosteikko
natural	wetlands	1	kosteikot
natural	wood	0	metsä
natural	wood	1	metsät
place	city	0	kaupunki
place	city	1	kaupungit
place	country	0	maa
place	country	1	maat
place	county	0	piirikunta
place	county	1	piirikunnat
place	farm	0	maatila
place	farm	1	maatilat
place	hamlet	0	pieni kylä
place	hamlet	1	pienet kylät
place	house	0	talo
place	house	1	talot
place	house	1	taloja
