key	value	is_plural	phrase
aeroway	aerodrome	0	aéroport
aeroway	aerodrome	1	aéroports
amenity	arts_centre	0	centre artistique
amenity	arts_centre	1	centres artistiques
amenity	atm	0	distributeur automatique de billets
amenity	atm	1	distributeurs automatiques de billets
amenity	auditorium	0	auditorium
amenity	auditorium	1	auditoriums
amenity	bank	0	banque
amenity	bank	1	banques
amenity	bar	0	bar
amenity	bar	1	bars
amenity	bench	0	banc
amenity	bench	1	bancs
amenity	bicycle_parking	0	parking à vélos
amenity	bicycle_parking	1	parkings à vélos
amenity	bicycle_rental	0	location de vélos
amenity	bicycle_rental	1	locations de vélos
amenity	brothel	0	bordel
amenity	brothel	1	bordels
amenity	bureau_de_change	0	bureau de change
amenity	bureau_de_change	1	bureaux de change
amenity	bus_station	0	arrêt de bus
amenity	bus_station	1	arrêts de bus
amenity	cafe	0	café
amenity	cafe	1	cafés
amenity	car_rental	0	location de voitures
amenity	car_rental	1	locations de voitures
amenity	car_sharing	0	covoiturage
amenity	car_sharing	1	covoiturages
amenity	car_wash	0	lavage de voitures
amenity	car_wash	1	lavages de voitures
emergency	defibrillator	0	défibrillateur
emergency	defibrillator	1	défibrillateurs
emergency	defibrillator	0	dae
shop	laundry	0	laverie
shop	laundry	1	laveries
amenity	casino	0	casino
amenity	casino	1	casinos
amenity	cinema	0	cinéma
amenity	cinema	1	cinémas
amenity	clinic	0	clinique
amenity	clinic	1	cliniques
amenity	club	0	club
amenity	club	1	clubs
amenity	college	0	établissement d'enseignement supérieur
amenity	college	1	établissements d'enseignement supérieur
amenity	community_centre	0	salle polyvalente
amenity	community_centre	1	salles polyvalentes
amenity	courthouse	0	palais de justice
amenity	courthouse	1	palais de justice
amenity	crematorium	0	crématorium
amenity	crematorium	1	crématoriums
amenity	dentist	0	dentiste
amenity	dentist	1	dentistes
amenity	doctors	0	docteur
amenity	doctors	1	docteurs
amenity	dormitory	0	dortoir
amenity	dormitory	1	dortoirs
amenity	drinking_water	0	eau potable
amenity	drinking_water	1	eaux potables
amenity	driving_school	0	école de conduite
amenity	driving_school	1	écoles de conduite
amenity	embassy	0	ambassade
amenity	embassy	1	ambassades
amenity	emergency_phone	0	téléphone d'urgence
amenity	emergency_phone	1	téléphones d'urgence
amenity	fast_food	0	restauration rapide
amenity	fast_food	1	restaurations rapides
amenity	ferry_terminal	0	terminal de ferry
amenity	ferry_terminal	1	terminaux de ferry
amenity	fire_hydrant	0	bouche d'incendie
amenity	fire_hydrant	1	bouches d'incendie
amenity	fire_station	0	caserne de pompiers
amenity	fire_station	1	casernes de pompiers
amenity	fountain	0	fontaine
amenity	fountain	1	fontaines
amenity	fuel	0	carburant
amenity	fuel	1	carburants
amenity	grave_yard	0	cimetière
amenity	grave_yard	1	cimetières
amenity	gym	0	fitness
amenity	gym	1	fitness
amenity	gym	0	salle de gymnastique
amenity	gym	1	salles de gymnastique
amenity	hall	0	salle
amenity	hall	1	salles
amenity	health_centre	0	centre de santé
amenity	health_centre	1	centres de santé
amenity	hospital	0	hôpital
amenity	hospital	1	hôpitaux
amenity	hotel	0	hôtel
amenity	hotel	1	hôtels
amenity	hunting_stand	0	stand de tir
amenity	hunting_stand	1	stands de tir
amenity	ice_cream	0	crème glacée
amenity	ice_cream	1	crèmes glacées
amenity	kindergarten	0	jardin d'enfants
amenity	kindergarten	1	jardins d'enfants
amenity	library	0	bibliothèque
amenity	library	1	bibliothèques
amenity	market	0	marché
amenity	market	1	marchés
amenity	marketplace	0	place de marché
amenity	marketplace	1	places de marché
amenity	mountain_rescue	0	secours en montagne
amenity	mountain_rescue	1	secours en montagne
amenity	nightclub	0	boîte de nuit
amenity	nightclub	1	boîtes de nuit
amenity	nursery	0	nurserie
amenity	nursery	1	nurseries
amenity	nursing_home	0	maison de santé
amenity	nursing_home	1	maisons de santé
amenity	office	0	bureau
amenity	office	1	bureaux
amenity	park	0	parc
amenity	park	1	parcs
amenity	parking	0	parking
amenity	parking	1	parkings
amenity	pharmacy	0	pharmacie
amenity	pharmacy	1	pharmacies
amenity	place_of_worship	0	lieu de culte
amenity	place_of_worship	1	lieux de culte
amenity	police	0	police
amenity	police	1	polices
amenity	post_box	0	boîtes aux lettres
amenity	post_box	1	boîtes aux lettres
amenity	post_office	0	bureau de poste
amenity	post_office	1	bureaux de poste
amenity	preschool	0	préscolaire
amenity	preschool	1	préscolaires
amenity	prison	0	prison
amenity	prison	1	prisons
amenity	pub	0	bar
amenity	pub	1	bars
amenity	public_building	0	bâtiment public
amenity	public_building	1	bâtimentss publics
amenity	public_market	0	marché public
amenity	public_market	1	marchés publics
amenity	reception_area	0	zone de réception
amenity	reception_area	1	zones de réceptions
amenity	recycling	0	bulle à verre
amenity	recycling	1	bulles à verre
amenity	recycling	0	bulle
amenity	recycling	1	bulles
amenity	recycling	0	point de recyclage
amenity	recycling	1	points de recyclage
amenity	restaurant	0	restaurant
amenity	restaurant	1	restaurants
amenity	retirement_home	0	maison de retraite
amenity	retirement_home	1	maisons de retraite
amenity	sauna	0	sauna
amenity	sauna	1	saunas
amenity	school	0	école
amenity	school	1	écoles
amenity	shelter	0	refuge
amenity	shelter	1	refuges
amenity	shop	0	magasin
amenity	shop	1	magasins
amenity	shopping	0	commerce
amenity	shopping	1	commerces
amenity	social_club	0	club social
amenity	social_club	1	clubs sociaux
amenity	studio	0	studio
amenity	studio	1	studios
amenity	supermarket	0	supermarché
amenity	supermarket	1	supermarchés
amenity	taxi	0	taxi
amenity	taxi	1	taxis
amenity	telephone	0	téléphone public
amenity	telephone	1	téléphones publics
amenity	theatre	0	théâtre
amenity	theatre	1	théâtres
amenity	toilets	0	toilettes
amenity	toilets	1	toilettes
amenity	townhall	0	hôtel de ville
amenity	townhall	1	hôtels de ville
amenity	university	0	université
amenity	university	1	universités
amenity	vending_machine	0	distributeur automatique
amenity	vending_machine	1	distributeurs automatiques
amenity	veterinary	0	vétérinaire
amenity	veterinary	1	vétérinaires
amenity	village_hall	0	salle communale
amenity	village_hall	1	salles communales
amenity	waste_basket	0	corbeille
amenity	waste_basket	1	corbeilles
amenity	wifi	0	accès wifi
amenity	wifi	1	accès wifi
amenity	youth_centre	0	centre pour la jeunesse
amenity	youth_centre	1	centres pour la jeunesse
boundary	administrative	0	limite administrative
boundary	administrative	1	limites administratives
building	apartments	0	immeuble
building	apartments	1	immeubles
building	block	0	immeuble
building	block	1	immeubles
building	bunker	0	bunker
building	bunker	1	bunkers
building	chapel	0	chapelle
building	chapel	1	chapelles
building	church	0	église
building	church	1	églises
building	city_hall	0	hôtel de ville
building	city_hall	1	hôtels de ville
building	commercial	0	bâtiment de bureaux
building	commercial	1	bâtiments de bureaux
building	dormitory	0	dortoir
building	dormitory	1	dortoirs
building	entrance	0	entrée de bâtiment
building	entrance	1	entrées de bâtiment
building	faculty	0	bâtiment de faculté
building	faculty	1	bâtiments de faculté
building	farm	0	bâtiment de ferme
building	farm	1	bâtiments de fermes
building	flats	0	appartements
building	flats	1	appartements
building	garage	0	garage
building	garage	1	garages
building	hall	0	salle
building	hall	1	salles
building	hospital	0	bâtiment hospitalier
building	hospital	1	bâtiments hospitaliers
building	hotel	0	hôtel
building	hotel	1	hôtels
building	house	0	maison
building	house	1	maisons
building	industrial	0	bâtiment industriel
building	industrial	1	bâtiments industriels
building	office	0	bâtiment de bureaux
building	office	1	bâtiments de bureaux
building	public	0	bâtiment public
building	public	1	bâtiments publics
building	residential	0	bâtiment résidentiel
building	residential	1	bâtiments résidentiels
building	retail	0	magasin
building	retail	1	magasins
building	school	0	bâtiment d'école
building	school	1	bâtiments d'école
building	shop	0	magasin
building	shop	1	magasins
building	stadium	0	stade
building	stadium	1	stades
building	store	0	magasin
building	store	1	magasins
building	terrace	0	terrasse
building	terrace	1	terrasses
building	tower	0	tour
building	tower	1	tours
building	train_station	0	gare ferroviaire
building	train_station	1	gares ferroviaires
building	university	0	bâtiment d'université
building	university	1	bâtiments d'universités
building	&quot;yes&quot;	0	bâtiment
building	&quot;yes&quot;	1	bâtiments
highway	bridleway	0	chemin pour cavaliers
highway	bridleway	1	chemins pour cavaliers
highway	bus_guideway	0	voie de bus guidée
highway	bus_guideway	1	voies de bus guidées
highway	bus_stop	0	arrêt de bus
highway	bus_stop	1	arrêts de bus
highway	byway	0	route secondaire
highway	byway	1	routes secondaires
highway	construction	0	route en construction
highway	construction	1	routes en construction
highway	cycleway	0	piste cyclable
highway	cycleway	1	pistes cyclables
highway	distance_marker	0	borne kilométrique
highway	distance_marker	1	bornes kilométriques
highway	emergency_access_point	0	point d'accès d'urgence
highway	emergency_access_point	1	points d'accès d'urgence
highway	footway	0	chemin piéton
highway	footway	1	chemins piétons
highway	ford	0	gué
highway	ford	1	gués
highway	gate	0	porte
highway	gate	1	portes
highway	living_street	0	rue résidentielle
highway	living_street	1	rues résidentielles
highway	minor	0	route mineure
highway	minor	1	routes mineures
highway	motorway	0	autoroute
highway	motorway	1	autoroutes
highway	motorway_junction	0	jonction d'autoroutes
highway	motorway_junction	1	jonctions d'autoroutes
highway	motorway_link	0	bretelle autoroutière
highway	motorway_link	1	bretelles autoroutières
highway	path	0	chemin
highway	path	1	chemins
highway	pedestrian	0	chemin piéton
highway	pedestrian	1	chemins piétons
highway	platform	0	plateforme
highway	platform	1	plateformes
highway	primary	0	route principale
highway	primary	1	routes principales
highway	primary_link	0	route principale
highway	primary_link	1	routes principales
highway	raceway	0	circuit
highway	raceway	1	circuits
highway	residential	0	rue résidentiel
