key	value	is_plural	phrase
aeroway	aerodrome	0	aeroporto
aeroway	aerodrome	1	aeroportos
amenity	arts_centre	0	centro artístico
amenity	arts_centre	1	centro artísticos
amenity	atm	0	caixeiro automático
amenity	atm	1	caixeiro automáticos
amenity	auditorium	0	auditorio
amenity	auditorium	1	auditorios
amenity	bank	0	banco
amenity	bank	1	bancos
amenity	bar	0	bar
amenity	bar	1	bars
amenity	bench	0	banco
amenity	bench	1	bancos
amenity	bicycle_parking	0	aparcadoiro de bicicletas
amenity	bicycle_parking	1	aparcadoiro de bicicletass
amenity	bicycle_rental	0	aluguer de bicicletas
amenity	bicycle_rental	1	aluguer de bicicletass
amenity	brothel	0	prostíbulo
amenity	brothel	1	prostíbulos
amenity	bus_station	0	estación de autobuses
amenity	bus_station	1	estación de autobusess
amenity	cafe	0	cafetaría
amenity	cafe	1	cafetarías
amenity	car_rental	0	aluguer de automóbiles
amenity	car_rental	1	aluguer de automóbiless
amenity	car_sharing	0	aluguer de automóbiles
amenity	car_sharing	1	aluguer de automóbiless
amenity	casino	0	casino
amenity	casino	1	casinos
amenity	cinema	0	cine
amenity	cinema	1	cines
amenity	clinic	0	clínica
amenity	clinic	1	clínicas
amenity	club	0	club
amenity	club	1	clubs
amenity	college	0	instituto
amenity	college	1	institutos
amenity	community_centre	0	centro comunitario
amenity	community_centre	1	centro comunitarios
amenity	courthouse	0	xulgado
amenity	courthouse	1	xulgados
amenity	crematorium	0	crematorio
amenity	crematorium	1	crematorios
amenity	dentist	0	dentista
amenity	dentist	1	dentistas
amenity	dormitory	0	residencia universitaria
amenity	dormitory	1	residencia universitarias
amenity	drinking_water	0	auga potable
amenity	drinking_water	1	auga potables
amenity	driving_school	0	escola de condución
amenity	driving_school	1	escola de conducións
amenity	emergency_phone	0	teléfono de emerxencia
amenity	emergency_phone	1	teléfono de emerxencias
amenity	fast_food	0	comida rápida
amenity	fast_food	1	comida rápidas
amenity	fire_station	0	parque de bombeiros
amenity	fire_station	1	parque de bombeiross
amenity	fountain	0	fonte
amenity	fountain	1	fontes
amenity	fuel	0	combustible
amenity	fuel	1	combustibles
amenity	grave_yard	0	cemiterio
amenity	grave_yard	1	cemiterios
amenity	gym	0	ximnasio
amenity	gym	1	ximnasios
amenity	health_centre	0	centro de saúde
amenity	health_centre	1	centro de saúdes
amenity	hospital	0	hospital
amenity	hospital	1	hospitals
amenity	hotel	0	hotel
amenity	hotel	1	hotels
amenity	ice_cream	0	xeadaría
amenity	ice_cream	1	xeadarías
amenity	kindergarten	0	xardín de infancia
amenity	kindergarten	1	xardín de infancias
amenity	library	0	biblioteca
amenity	library	1	bibliotecas
amenity	market	0	mercado
amenity	market	1	mercados
amenity	marketplace	0	praza de mercado
amenity	marketplace	1	praza de mercados
amenity	nightclub	0	club nocturno
amenity	nightclub	1	club nocturnos
amenity	office	0	oficina
amenity	office	1	oficinas
amenity	park	0	parque
amenity	park	1	parques
amenity	parking	0	aparcadoiro
amenity	parking	1	aparcadoiros
amenity	pharmacy	0	farmacia
amenity	pharmacy	1	farmacias
amenity	place_of_worship	0	lugar de culto
amenity	place_of_worship	1	lugar de cultos
amenity	police	0	policía
amenity	police	1	policías
amenity	post_box	0	caixa de correos
amenity	post_box	1	caixa de correoss
amenity	post_office	0	oficina de correos
amenity	post_office	1	oficina de correoss
amenity	preschool	0	preescolar
amenity	preschool	1	preescolars
amenity	prison	0	prisión
amenity	prison	1	prisións
amenity	pub	0	pub
amenity	pub	1	pubs
amenity	public_building	0	edificio público
amenity	public_building	1	edificio públicos
amenity	public_market	0	mercado público
amenity	public_market	1	mercado públicos
amenity	recycling	0	punto de reciclaxe
amenity	recycling	1	punto de reciclaxes
amenity	restaurant	0	restaurante
amenity	restaurant	1	restaurantes
amenity	retirement_home	0	residencia de xubilados
amenity	retirement_home	1	residencia de xubiladoss
