key	value	is_plural	phrase
aeroway	aerodrome	0	zračna luka
aeroway	aerodrome	1	zračna lukas
amenity	arts_centre	0	umjetnički centar
amenity	arts_centre	1	umjetnički centars
amenity	atm	0	bankomat
amenity	atm	1	bankomats
amenity	auditorium	0	auditorij
amenity	auditorium	1	auditorijs
amenity	bank	0	banka
amenity	bank	1	bankas
amenity	bar	0	bar
amenity	bar	1	bars
amenity	bench	0	klupa
amenity	bench	1	klupas
amenity	bicycle_parking	0	biciklistički parking
amenity	bicycle_parking	1	biciklistički parkings
amenity	bicycle_rental	0	rent a bicikl
amenity	bicycle_rental	1	rent a bicikls
amenity	brothel	0	bordel
amenity	brothel	1	bordels
amenity	bureau_de_change	0	mjenjačnica
amenity	bureau_de_change	1	mjenjačnicas
amenity	bus_station	0	autobusni kolodvor
amenity	bus_station	1	autobusni kolodvors
amenity	cafe	0	caffe bar
amenity	cafe	1	caffe bars
amenity	car_rental	0	rent-a-car
amenity	car_rental	1	rent-a-cars
amenity	car_sharing	0	carsharing
amenity	car_sharing	1	carsharings
amenity	car_wash	0	autopraonica
amenity	car_wash	1	autopraonicas
amenity	casino	0	casino
amenity	casino	1	casinos
amenity	cinema	0	kino
amenity	cinema	1	kinos
amenity	clinic	0	klinika
amenity	clinic	1	klinikas
amenity	club	0	klub
amenity	club	1	klubs
amenity	college	0	fakultet
amenity	college	1	fakultets
amenity	community_centre	0	društveni centar
amenity	community_centre	1	društveni centars
amenity	courthouse	0	sud
amenity	courthouse	1	suds
amenity	crematorium	0	krematorij
amenity	crematorium	1	krematorijs
amenity	dentist	0	zubar
amenity	dentist	1	zubars
amenity	doctors	0	doktor
amenity	doctors	1	doktors
amenity	dormitory	0	studentski dom
amenity	dormitory	1	studentski doms
amenity	drinking_water	0	pitka voda
amenity	drinking_water	1	pitka vodas
amenity	driving_school	0	autoškola
amenity	driving_school	1	autoškolas
amenity	embassy	0	veleposlanstvo
amenity	embassy	1	veleposlanstvos
amenity	emergency_phone	0	telefon (s.o.s)
amenity	emergency_phone	1	telefon (s.o.s)s
amenity	fast_food	0	fast food
amenity	fast_food	1	fast foods
amenity	ferry_terminal	0	trajektni terminal
amenity	ferry_terminal	1	trajektni terminals
amenity	fire_hydrant	0	hidrant
amenity	fire_hydrant	1	hidrants
amenity	fire_station	0	vatrogasna postaja
amenity	fire_station	1	vatrogasna postajas
amenity	fountain	0	fontana
amenity	fountain	1	fontanas
amenity	fuel	0	benzinska
amenity	fuel	1	benzinskas
amenity	grave_yard	0	groblje
amenity	grave_yard	1	grobljes
amenity	gym	0	fitness centar
amenity	gym	1	fitness centars
amenity	hall	0	hala
amenity	hall	1	halas
amenity	health_centre	0	zdravstveni centar
amenity	health_centre	1	zdravstveni centars
amenity	hospital	0	bolnica
amenity	hospital	1	bolnicas
