key	value	is_plural	phrase
aeroway	aerodrome	0	flugvöllur
aeroway	aerodrome	1	flugvellir
amenity	atm	0	hraðbanki
amenity	atm	1	hraðbankar
amenity	bar	0	bar
amenity	bar	1	barir
amenity	bicycle_rental	0	reiðhjólaleiga
amenity	bicycle_rental	1	reiðhjólaleigur
amenity	brothel	0	hóruhús
amenity	brothel	1	hóruhús
amenity	cafe	0	kaffihús
amenity	cafe	1	kaffihús
amenity	car_rental	0	bílaleiga
amenity	car_rental	1	bílaleigur
amenity	car_wash	0	bílaþvottastöð
amenity	car_wash	1	bílaþvottastöðvar
amenity	cinema	0	kvikmyndarhús
amenity	cinema	1	kvikmyndarhús
amenity	dentist	0	tannlæknir
amenity	dentist	1	tannlæknar
amenity	embassy	0	sendiráð
amenity	embassy	1	sendiráð
amenity	fast_food	0	skyndibitastaður
amenity	fast_food	1	skyndibitastaðir
amenity	fire_hydrant	0	brunahani
amenity	fire_hydrant	1	brunahanar
amenity	hospital	0	spítali
amenity	hospital	1	spítalar
amenity	hotel	0	hótel
amenity	hotel	1	hótel
amenity	library	0	bókasafn
amenity	library	1	bókasöfn
amenity	post_box	0	póstkassi
amenity	post_box	1	póstkassar
amenity	post_office	0	pósthús
amenity	post_office	1	pósthús
amenity	prison	0	fangelsi
amenity	prison	1	fangelsi
amenity	pub	0	pöbb
amenity	pub	1	pöbbar
amenity	restaurant	0	veitingastaður
amenity	restaurant	1	veitingastaðir
amenity	sauna	0	gufubað
amenity	sauna	1	gufuböð
amenity	shop	0	verslun
amenity	shop	1	verslanir
amenity	theatre	0	leikhús
amenity	theatre	1	leikhús
building	chapel	0	kapella
building	chapel	1	kapellur
building	church	0	kirkja
building	church	1	kirkjur
highway	ford	0	vað
highway	ford	1	vöð
highway	residential	0	íbúðargata
highway	residential	1	íbúðargötur
historic	castle	0	kastali
historic	castle	1	kastalar
landuse	military	0	hersvæði
landuse	military	1	hersvæði
leisure	sports_centre	0	íþróttamiðstöð
leisure	sports_centre	1	íþróttamiðstöðvar
leisure	swimming_pool	0	sundlaug
leisure	swimming_pool	1	sundlaugar
leisure	water_park	0	vatnsleikjagarður
leisure	water_park	1	vatnsleikjagarðar
natural	bay	0	flói
natural	bay	1	flóar
natural	beach	0	strönd
natural	beach	1	strendur
natural	cave_entrance	0	hellisop
natural	cave_entrance	1	hellisop
natural	crater	0	gígur
natural	crater	1	gígar
natural	fell	0	fell
natural	fell	1	fell
natural	fjord	0	fjörður
natural	fjord	1	firðir
natural	geyser	0	goshver
natural	geyser	1	goshverir
natural	glacier	0	jökull
natural	glacier	1	jöklar
natural	hill	0	hæð
natural	hill	1	hæðir
natural	island	0	eyja
natural	island	1	eyjur
natural	peak	0	tindur
natural	peak	1	tindar
natural	reef	0	rif
natural	reef	1	rif
natural	river	0	á
natural	river	1	ár
natural	tree	0	tré
natural	tree	1	tré
natural	valley	0	dalur
natural	valley	1	dalir
natural	volcano	0	eldfjall
natural	volcano	1	eldfjöll
natural	water	0	vatn
natural	water	1	vötn
place	city	0	borg
place	city	1	borgir
place	country	0	land
place	country	1	lönd
place	farm	0	bóndabýli
place	farm	1	bóndabýli
place	house	0	hús
place	house	1	hús
place	island	0	eyja
place	island	1	eyjur
place	islet	0	smáeyja
place	islet	1	smáeyjur
place	postcode	0	póstnúmer
place	postcode	1	póstnúmer
place	region	0	svæði
place	region	1	svæði
place	sea	0	haf
place	sea	1	höf
place	suburb	0	hverfi
place	suburb	1	hverfi
place	town	0	bær
place	town	1	bæir
place	village	0	þorp
place	village	1	þorp
shop	bakery	0	bakarí
shop	bakery	1	bakarí
shop	bicycle	0	hjólabúð
shop	bicycle	1	hjólabúðir
shop	books	0	bókabúð
shop	books	1	bókabúðir
shop	butcher	0	slátrari
shop	butcher	1	slátrarar
shop	car	0	bílabúð
shop	car	1	bílabúðir
shop	carpet	0	teppabúð
shop	carpet	1	teppabúðir
shop	clothes	0	fatabúð
shop	clothes	1	fatabúðir
shop	computer	0	tölvubúð
shop	computer	1	tölvubúðir
shop	electronics	0	raftækjaverslun
shop	electronics	1	raftækjaverslanir
shop	fish	0	fiskbúð
shop	fish	1	fiskbúðir
shop	florist	0	blómabúð
shop	florist	1	blómabúðir
shop	food	0	matvöruverslun
shop	food	1	matvöruverslanir
shop	furniture	0	húsgagnaverslun
shop	gift	0	gjafabúð
shop	gift	1	gjafabúðir
shop	hardware	0	verkfærabúð
shop	hardware	1	verkfærabúðir
shop	hifi	0	hljómtækjabúð
shop	hifi	1	hljómtækjabúðir
shop	kiosk	0	söluturn
shop	kiosk	1	söluturnar
shop	mobile_phone	0	farsímaverslun
shop	mobile_phone	1	farsímaverslanir
shop	outdoor	0	útivistarbúð
shop	outdoor	1	útivistarbúðir
shop	pet	0	gæludýrabúð
shop	pet	1	gæludýrabúðir
shop	toys	0	leikfangaverslun
shop	toys	1	leikfangaverslanir
shop	travel_agency	0	ferðaskrifstofa
shop	travel_agency	1	ferðaskrifstofur
shop	video	0	myndbandaleiga
shop	video	1	myndbandaleigur
tourism	artwork	0	listaverk
tourism	artwork	1	listaverk
tourism	hotel	0	hótel
tourism	hotel	1	hótel
tourism	museum	0	safn
tourism	museum	1	söfn
tourism	valley	0	dalur
tourism	valley	1	dalir
tourism	zoo	0	dýragarður
tourism	zoo	1	dýragarðar
waterway	dam	0	vatnsaflsvirkjun
waterway	dam	1	vatnsaflsvirkjanir
waterway	river	0	á
waterway	river	1	ár
waterway	stream	0	lækur
waterway	stream	1	lækir
waterway	waterfall	0	foss
waterway	waterfall	1	fossar
