key	value	is_plural	phrase
aeroway	aerodrome	0	aeroporto
aeroway	aerodrome	1	aeroporti
amenity	animal_boarding	0	pensione per animali
amenity	animal_boarding	1	pensioni per animali
amenity	animal_shelter	0	rifugio per animali
amenity	animal_shelter	1	rifugio per animali
amenity	atm	0	bancomat
amenity	atm	1	bancomat
amenity	bank	0	banca
amenity	bank	1	banche
amenity	bar	0	bar
amenity	bar	1	bar
amenity	bench	0	panchina
amenity	bench	1	panchine
amenity	bicycle_parking	0	parcheggio per biciclette
amenity	bicycle_parking	1	parcheggi per biciclette
amenity	bicycle_rental	0	stazione del bikesharing
amenity	bicycle_rental	1	stazioni del bikesharing
amenity	brothel	0	bordello
amenity	brothel	1	bordelli
amenity	bureau_de_change	0	cambiavalute
amenity	bureau_de_change	1	cambiavalute
amenity	bureau_de_change	0	cambia valute
amenity	bureau_de_change	1	cambia valute
amenity	cafe	0	caffè
amenity	cafe	1	caffè
amenity	car_rental	0	autonoleggio
amenity	car_rental	1	autonoleggi
amenity	car_sharing	0	stazione del carsharing
amenity	car_sharing	1	stazioni del carsharing
amenity	car_wash	0	autolavaggio
amenity	car_wash	1	autolavaggi
amenity	casino	0	casinò
amenity	casino	1	casinò
amenity	charging_station	0	stazione di ricarica elettrica
amenity	charging_station	1	stazioni di ricarica elettrica
amenity	charging_station	0	stazione di ricarica
amenity	charging_station	1	stazioni di ricarica
amenity	charging_station	0	colonnina di ricarica
amenity	charging_station	1	colonnine di ricarica
amenity	cinema	0	cinema
amenity	cinema	1	cinema
amenity	college	0	scuola superiore
amenity	college	1	scuole superiori
amenity	courthouse	0	tribunale
amenity	courthouse	1	tribunali
amenity	crematorium	0	crematorio
amenity	crematorium	1	crematori
amenity	dentist	0	dentista
amenity	dentist	1	dentisti
amenity	dormitory	0	dormitorio
amenity	dormitory	1	dormitori
amenity	drinking_water	0	acqua
amenity	drinking_water	0	acqua potabile
amenity	drinking_water	1	fontanelle
amenity	drinking_water	0	fontanella
amenity	driving_school	0	scuola guida
