key	value	is_plural	phrase
aeroway	aerodrome	0	空港
amenity	bank	0	銀行
amenity	car_rental	0	レンタカー
amenity	car_wash	0	洗車
amenity	casino	0	賭場
amenity	college	0	大学
amenity	dentist	0	歯科医
amenity	embassy	0	大使館
amenity	hotel	0	ホテル
amenity	kindergarten	0	幼稚園
amenity	library	0	図書館
amenity	pub	0	パブ（立ち吞み屋）
amenity	sauna	0	サウナ
amenity	school	0	学校
amenity	shop	0	店舗
amenity	taxi	0	タクシー乗り場
amenity	university	0	大学
amenity	wifi	0	wifiアクセスポイント
highway	bus_stop	0	バス停
highway	steps	0	階段
place	city	0	市
tourism	theme_park	0	テーマパーク
tourism	valley	0	谷
tourism	zoo	0	動物園
