key	value	is_plural	phrase
aeroway	aerodrome	0	аеродром
aeroway	aerodrome	1	аеродромs
amenity	arts_centre	0	дом на уметности
amenity	arts_centre	1	дом на уметностиs
amenity	atm	0	банкомат
amenity	atm	1	банкоматs
amenity	auditorium	0	аудиториум
amenity	auditorium	1	аудиториумs
amenity	bank	0	банка
amenity	bank	1	банкаs
amenity	bar	0	бар
amenity	bar	1	барs
amenity	bench	0	клупа
amenity	bench	1	клупаs
amenity	bicycle_parking	0	велосипедско паркирање
amenity	bicycle_parking	1	велосипедско паркирањеs
amenity	bicycle_rental	0	изнајмување велосипеди
amenity	bicycle_rental	1	изнајмување велосипедиs
amenity	brothel	0	бордел
amenity	brothel	1	борделs
amenity	bureau_de_change	0	менувачница
amenity	bureau_de_change	1	менувачницаs
amenity	bus_station	0	автобуска станица
amenity	bus_station	1	автобуска станицаs
amenity	cafe	0	кафуле
amenity	cafe	1	кафулеs
amenity	car_rental	0	рент-а-кар
amenity	car_rental	1	рент-а-карs
amenity	car_sharing	0	изнајмување автомобил
amenity	car_sharing	1	изнајмување автомобилs
amenity	car_wash	0	автоперална
amenity	car_wash	1	автопералнаs
amenity	casino	0	казино
amenity	casino	1	казиноs
amenity	cinema	0	кино
amenity	cinema	1	киноs
amenity	clinic	0	клиника
amenity	clinic	1	клиникаs
amenity	club	0	клуб
amenity	club	1	клубs
amenity	college	0	колеџ
amenity	college	1	колеџs
amenity	community_centre	0	центар на заедница
amenity	community_centre	1	центар на заедницаs
amenity	courthouse	0	суд
amenity	courthouse	1	судs
amenity	crematorium	0	крематориум
amenity	crematorium	1	крематориумs
amenity	dentist	0	забар
amenity	dentist	1	забарs
amenity	doctors	0	доктори
amenity	doctors	1	докториs
amenity	dormitory	0	студентски дом
amenity	dormitory	1	студентски домs
amenity	drinking_water	0	питка вода
amenity	drinking_water	1	питка водаs
amenity	driving_school	0	автошкола
amenity	driving_school	1	автошколаs
amenity	embassy	0	амбасада
amenity	embassy	1	амбасадаs
amenity	emergency_phone	0	итен телефон
amenity	emergency_phone	1	итен телефонs
amenity	fast_food	0	брза храна
amenity	fast_food	1	брза хранаs
amenity	ferry_terminal	0	ферибот-терминал
amenity	ferry_terminal	1	ферибот-терминалs
amenity	fire_hydrant	0	противпожарен хидрант
amenity	fire_hydrant	1	противпожарен хидрантs
amenity	fire_station	0	пожарна
amenity	fire_station	1	пожарнаs
amenity	fountain	0	фонтана
amenity	fountain	1	фонтанаs
amenity	fuel	0	гориво
amenity	fuel	1	горивоs
amenity	grave_yard	0	гробишта
amenity	grave_yard	1	гробиштаs
amenity	gym	0	теретана / фитнес
amenity	gym	1	теретана / фитнесs
amenity	hall	0	соборна сала
amenity	hall	1	соборна салаs
amenity	health_centre	0	здравствен центар
amenity	health_centre	1	здравствен центарs
amenity	hospital	0	болница
amenity	hospital	1	болницаs
amenity	hotel	0	хотел
amenity	hotel	1	хотелs
amenity	hunting_stand	0	ловечка кула
amenity	hunting_stand	1	ловечка кулаs
amenity	ice_cream	0	сладолед
amenity	ice_cream	1	сладоледs
amenity	kindergarten	0	градинка
amenity	kindergarten	1	градинкаs
amenity	library	0	библиотека
amenity	library	1	библиотекаs
amenity	market	0	пазар
amenity	market	1	пазарs
amenity	marketplace	0	пазар
amenity	marketplace	1	пазарs
amenity	mountain_rescue	0	планинарско спасување
amenity	mountain_rescue	1	планинарско спасувањеs
amenity	nightclub	0	ноќен клуб
amenity	nightclub	1	ноќен клубs
amenity	nursery	0	јасли
amenity	nursery	1	јаслиs
amenity	nursing_home	0	старечки дом
amenity	nursing_home	1	старечки домs
amenity	office	0	канцеларија
amenity	office	1	канцеларијаs
amenity	park	0	парк
amenity	park	1	паркs
amenity	parking	0	паркинг
amenity	parking	1	паркингs
amenity	pharmacy	0	аптека
amenity	pharmacy	1	аптекаs
amenity	place_of_worship	0	верски објект
amenity	place_of_worship	1	верски објектs
amenity	police	0	полиција
amenity	police	1	полицијаs
amenity	post_box	0	поштенско сандаче
amenity	post_box	1	поштенско сандачеs
amenity	post_office	0	пошта
amenity	post_office	1	поштаs
amenity	preschool	0	претшколска установа
amenity	preschool	1	претшколска установаs
amenity	prison	0	затвор
amenity	prison	1	затворs
amenity	pub	0	пивница
amenity	pub	1	пивницаs
amenity	public_building	0	јавен објект
amenity	public_building	1	јавен објектs
amenity	public_market	0	градски пазар
amenity	public_market	1	градски пазарs
amenity	reception_area	0	рецепција
amenity	reception_area	1	рецепцијаs
amenity	recycling	0	рециклирање
amenity	recycling	1	рециклирањеs
amenity	restaurant	0	ресторан
amenity	restaurant	1	ресторанs
amenity	retirement_home	0	старечки дом
amenity	retirement_home	1	старечки домs
amenity	sauna	0	сауна
amenity	sauna	1	саунаs
amenity	school	0	училиште
amenity	school	1	училиштеs
amenity	shelter	0	засолниште
amenity	shelter	1	засолништеs
amenity	shop	0	дуќан
amenity	shop	1	дуќанs
amenity	shopping	0	дуќани
amenity	shopping	1	дуќаниs
amenity	social_club	0	друштвен клуб
amenity	social_club	1	друштвен клубs
amenity	studio	0	студио
amenity	studio	1	студиоs
amenity	supermarket	0	супермаркет
amenity	supermarket	1	супермаркетs
amenity	taxi	0	такси
amenity	taxi	1	таксиs
amenity	telephone	0	телефонска говорница
amenity	telephone	1	телефонска говорницаs
amenity	theatre	0	театар
amenity	theatre	1	театарs
amenity	toilets	0	тоалет
amenity	toilets	1	тоалетs
amenity	townhall	0	градски дом
amenity	townhall	1	градски домs
amenity	university	0	универзитет
amenity	university	1	универзитетs
amenity	vending_machine	0	вендинг-машина
amenity	vending_machine	1	вендинг-машинаs
amenity	veterinary	0	ветеринарна клиника
amenity	veterinary	1	ветеринарна клиникаs
amenity	village_hall	0	месна заедница
amenity	village_hall	1	месна заедницаs
amenity	waste_basket	0	корпа за отпадоци
amenity	waste_basket	1	корпа за отпадоциs
amenity	wifi	0	безжичен интернет
amenity	wifi	1	безжичен интернетs
amenity	youth_centre	0	младински центар
amenity	youth_centre	1	младински центарs
boundary	administrative	0	административна граница
boundary	administrative	1	административна границаs
building	apartments	0	станбен блок
building	apartments	1	станбен блокs
building	block	0	блок згради
building	block	1	блок зградиs
building	bunker	0	бункер
building	bunker	1	бункерs
building	chapel	0	капела
building	chapel	1	капелаs
building	church	0	црква
building	church	1	цркваs
building	city_hall	0	градски дом
building	city_hall	1	градски домs
building	commercial	0	комерцијална зграда
building	commercial	1	комерцијална зградаs
building	dormitory	0	студентски дом
building	dormitory	1	студентски домs
building	entrance	0	влез во зграда
building	entrance	1	влез во зградаs
building	faculty	0	факултетски објект
building	faculty	1	факултетски објектs
building	farm	0	земјоделски објект
building	farm	1	земјоделски објектs
building	flats	0	станови
building	flats	1	становиs
building	garage	0	гаража
building	garage	1	гаражаs
building	hall	0	сала
building	hall	1	салаs
building	hospital	0	болничка зграда
building	hospital	1	болничка зградаs
building	hotel	0	хотел
building	hotel	1	хотелs
building	house	0	куќа
building	house	1	куќаs
building	industrial	0	индустриски објект
building	industrial	1	индустриски објектs
building	office	0	деловна зграда
building	office	1	деловна зградаs
building	public	0	јавен објект
building	public	1	јавен објектs
building	residential	0	станбена зграда
building	residential	1	станбена зградаs
building	retail	0	продажен објект
building	retail	1	продажен објектs
building	school	0	школско здание
building	school	1	школско зданиеs
building	shop	0	дуќан
building	shop	1	дуќанs
building	stadium	0	стадион
building	stadium	1	стадионs
building	store	0	продавница
building	store	1	продавницаs
building	terrace	0	тераса
building	terrace	1	терасаs
building	tower	0	кула
building	tower	1	кулаs
building	train_station	0	железничка станица
building	train_station	1	железничка станицаs
building	university	0	универзитетска зграда
building	university	1	универзитетска зградаs
building	&quot;yes&quot;	0	зграда
building	&quot;yes&quot;	1	зградаs
highway	bridleway	0	коњски пат
highway	bridleway	1	коњски патs
highway	bus_guideway	0	автобуски шини
highway	bus_guideway	1	автобуски шиниs
highway	bus_stop	0	автобуска постојка
highway	bus_stop	1	автобуска постојкаs
highway	byway	0	спореден пат
highway	byway	1	спореден патs
highway	construction	0	автопат во изградба
highway	construction	1	автопат во изградбаs
highway	cycleway	0	велосипедска патека
highway	cycleway	1	велосипедска патекаs
highway	distance_marker	0	бележник на растојание
