key	value	is_plural	phrase
aeroway	aerodrome	0	luchthaven
aeroway	aerodrome	1	luchthavens
amenity	arts_centre	0	kunstcollectief
amenity	arts_centre	1	kunstcollectieven
amenity	atm	0	geldautomaat
amenity	atm	1	geldautomaten
amenity	auditorium	0	auditorium
amenity	auditorium	1	auditoriums
amenity	bank	0	bank
amenity	bank	1	banken
amenity	bar	0	bar
amenity	bar	1	bars
amenity	bench	0	bankje
amenity	bench	1	bankjes
amenity	bicycle_parking	0	fietsenstalling
amenity	bicycle_parking	1	fietsenstallingen
amenity	bicycle_rental	0	fietsverhuur
amenity	bicycle_rental	1	fietsverhuren
amenity	brothel	0	bordeel
amenity	brothel	1	bordelen
amenity	bureau_de_change	0	wisselkantoor
amenity	bureau_de_change	1	wisselkantoren
amenity	bus_station	0	busstation
amenity	bus_station	1	busstations
amenity	cafe	0	café
amenity	cafe	1	cafés
amenity	car_rental	0	autoverhuur
amenity	car_rental	1	autoverhuren
amenity	car_sharing	0	autodelen
amenity	car_sharing	0	carpooling
amenity	car_wash	0	carwash
amenity	car_wash	1	carwashes
amenity	car_wash	0	autowasstraat
amenity	car_wash	1	autowasstraten
amenity	casino	0	casino
amenity	casino	1	casinos
amenity	casino	1	casino's
amenity	cinema	0	bioscoop
amenity	cinema	1	bioscopen
amenity	cinema	0	cinema
amenity	cinema	1	cinemas
amenity	clinic	0	kliniek
amenity	clinic	1	klinieken
amenity	club	0	club
amenity	club	1	clubs
amenity	college	0	hogeschool
amenity	college	1	hogescholen
amenity	community_centre	0	gemeenschapscentrum
amenity	community_centre	1	gemeenschapscentrums
amenity	community_centre	1	gemeenschapscentra
amenity	courthouse	0	rechtbank
amenity	courthouse	1	rechtbanken
amenity	crematorium	0	crematorium
amenity	crematorium	1	crematoriums
amenity	crematorium	1	crematoria
amenity	dentist	0	tandarts
amenity	dentist	1	tandartsen
amenity	doctors	0	dokter
amenity	doctors	1	dokters
amenity	dormitory	0	studentenhuis
amenity	dormitory	1	studentenhuizen
amenity	drinking_water	0	drinkwater
amenity	drinking_water	1	drinkwater
amenity	driving_school	0	rijschool
amenity	driving_school	1	rijscholen
amenity	embassy	0	ambassade
amenity	embassy	1	ambassades
amenity	emergency_phone	0	noodtelefoon
amenity	emergency_phone	1	noodtelefoons
amenity	fast_food	0	fast food
amenity	fast_food	1	fast foods
amenity	ferry_terminal	0	veerterminal
amenity	ferry_terminal	1	veerterminals
amenity	fire_hydrant	0	brandkraan
amenity	fire_hydrant	1	brandkranen
amenity	fire_station	0	brandweer
amenity	fire_station	1	brandweer
amenity	fountain	0	fontein
amenity	fountain	1	fonteinen
amenity	fuel	0	brandstof
amenity	fuel	1	brandstof
amenity	fuel	0	benzine pomp
amenity	fuel	1	benzine pompen
amenity	grave_yard	0	begraafplaats
amenity	grave_yard	1	begraafplaatsen
amenity	gym	0	fitnesscentrum
amenity	gym	1	fitnesscentrums
amenity	gym	1	fitnesscentra
amenity	hall	0	hal
amenity	hall	1	hallen
amenity	health_centre	0	gezondheidscentrum
amenity	health_centre	1	gezondheidscentrums
amenity	health_centre	1	gezondheidscentra
amenity	hospital	0	ziekenhuis
amenity	hospital	1	ziekenhuizen
amenity	hotel	0	hotel
amenity	hotel	1	hotels
amenity	hunting_stand	0	jachttoren
amenity	hunting_stand	1	jachttorens
amenity	ice_cream	0	ijs
amenity	ice_cream	1	ijs
amenity	kindergarten	0	kleuterschool
amenity	kindergarten	1	kleuterscholen
amenity	library	0	bibliotheek
amenity	library	1	bibliotheken
amenity	market	0	markt
amenity	market	1	markten
amenity	marketplace	0	marktplein
amenity	marketplace	1	marktpleinen
amenity	marketplace	1	markten
amenity	mountain_rescue	0	reddingsdienst
amenity	mountain_rescue	1	reddingsdiensten
amenity	nightclub	0	nachtclub
amenity	nightclub	1	nachtclubs
amenity	nightclub	0	discotheek
amenity	nightclub	1	discotheeken
amenity	nightclub	1	disco's
amenity	nursing_home	0	verpleeghuis
amenity	nursing_home	1	verpleeghuizen
amenity	nursing_home	0	rvt
amenity	nursing_home	1	rvt's
amenity	nursing_home	0	rusthuis
amenity	nursing_home	1	rusthuizen
amenity	office	0	kantoor
amenity	office	1	kantoren
amenity	park	0	park
amenity	park	1	parken
amenity	parking	0	parkeren
amenity	parking	1	parkeren
amenity	parking	0	parking
amenity	parking	1	parkings
amenity	pharmacy	0	apotheek
amenity	pharmacy	1	apotheken
amenity	place_of_worship	0	gebedsplaats
amenity	place_of_worship	1	gebedsplaatsen
amenity	police	0	politie
amenity	police	1	politie
amenity	post_box	0	brievenbus
amenity	post_box	1	brievenbussen
amenity	post_office	0	postkantoor
amenity	post_office	1	postkantoren
amenity	preschool	0	peuterspeelzaal
amenity	preschool	1	peuterspeelzalen
amenity	preschool	0	kleuterschool
amenity	preschool	1	kleuterscholen
amenity	prison	0	gevangenis
amenity	prison	1	gevangenissen
amenity	pub	0	café
amenity	pub	1	cafés
amenity	pub	1	café's
amenity	public_building	0	openbaar gebouw
amenity	public_building	1	openbare gebouwen
amenity	public_market	0	openbare markt
amenity	public_market	1	openbare markten
amenity	reception_area	0	receptie
amenity	reception_area	1	recepties
amenity	recycling	0	recyclingpunt
amenity	recycling	1	recyclingpunten
amenity	recycling	0	recyclage
amenity	recycling	1	recyclage
amenity	restaurant	0	restaurant
amenity	restaurant	1	restaurants
amenity	retirement_home	0	bejaardentehuis
amenity	retirement_home	1	bejaardentehuizen
amenity	retirement_home	0	rusthuis
amenity	retirement_home	1	rusthuizen
amenity	sauna	0	sauna
amenity	sauna	1	sauna's
amenity	school	0	school
amenity	school	1	scholen
amenity	shelter	0	beschutting
amenity	shelter	1	beschuttingen
amenity	shop	0	winkel
amenity	shop	1	winkels
amenity	shopping	0	winkelen
amenity	shopping	1	winkelen
amenity	studio	0	eenkamerappartement
amenity	studio	1	eenkamerappartementen
amenity	studio	0	studio
amenity	studio	1	studio's
amenity	supermarket	0	supermarkt
amenity	supermarket	1	supermarkten
amenity	taxi	0	taxi
amenity	taxi	1	taxi's
amenity	telephone	0	openbare telefoon
amenity	telephone	1	openbare telefoons
amenity	theatre	0	theater
amenity	theatre	1	theaters
amenity	toilets	0	toilet
amenity	toilets	1	toiletten
amenity	townhall	0	gemeentehuis
amenity	townhall	1	gemeentehuizen
amenity	university	0	universiteit
amenity	university	1	universiteiten
amenity	vending_machine	0	automaat
amenity	vending_machine	1	automaten
amenity	veterinary	0	dierenarts
amenity	veterinary	1	dierenartsen
