key	value	is_plural	phrase
aeroway	aerodrome	0	letisko
aeroway	aerodrome	1	letiskos
amenity	arts_centre	0	kultúrne stredisko
amenity	arts_centre	1	kultúrne strediskos
amenity	atm	0	bankomat
amenity	atm	1	bankomats
amenity	bank	0	banka
amenity	bank	1	bankas
amenity	bar	0	bar
amenity	bar	1	bars
amenity	bench	0	lavička
amenity	bench	1	lavičkas
amenity	bicycle_parking	0	parkovisko bicyklov
amenity	bicycle_parking	1	parkovisko bicyklovs
amenity	bicycle_rental	0	požičovňa bicyklov
amenity	bicycle_rental	1	požičovňa bicyklovs
amenity	brothel	0	nevestinec
amenity	brothel	1	nevestinecs
amenity	bureau_de_change	0	zmenáreň
amenity	bureau_de_change	1	zmenáreňs
amenity	bus_station	0	autobusová stanica
amenity	bus_station	1	autobusová stanicas
amenity	cafe	0	kaviareň
amenity	cafe	1	kaviareňs
amenity	car_rental	0	požičovňa áut
amenity	car_rental	1	požičovňa áuts
amenity	car_sharing	0	autopožičovňa
amenity	car_sharing	1	autopožičovňas
amenity	car_wash	0	autoumývareň
amenity	car_wash	1	autoumývareňs
amenity	casino	0	kasíno
amenity	casino	1	kasínos
amenity	cinema	0	kino
amenity	cinema	1	kinos
amenity	clinic	0	poliklinika
amenity	clinic	1	poliklinikas
amenity	club	0	klub
amenity	club	1	klubs
amenity	college	0	vysoká škola
amenity	college	1	vysoká školas
amenity	community_centre	0	kultúrne stredisko
amenity	community_centre	1	kultúrne strediskos
amenity	courthouse	0	súd
amenity	courthouse	1	súds
amenity	crematorium	0	krematórium
amenity	crematorium	1	krematóriums
amenity	dentist	0	zubár
amenity	dentist	1	zubárs
amenity	dormitory	0	študentský domov
amenity	dormitory	1	študentský domovs
amenity	drinking_water	0	pitná voda
amenity	drinking_water	1	pitná vodas
amenity	driving_school	0	autoškola
amenity	driving_school	1	autoškolas
amenity	embassy	0	veľvyslanectvo
amenity	embassy	1	veľvyslanectvos
amenity	emergency_phone	0	núdzový telefón
amenity	emergency_phone	1	núdzový telefóns
amenity	fast_food	0	rýchle občerstvenie
amenity	fast_food	1	rýchle občerstvenies
amenity	ferry_terminal	0	terminál trajektu
amenity	ferry_terminal	1	terminál trajektus
amenity	fire_hydrant	0	požiarny hydrant
amenity	fire_hydrant	1	požiarny hydrants
amenity	fire_station	0	požiarna stanica
amenity	fire_station	1	požiarna stanicas
amenity	fountain	0	fontána
amenity	fountain	1	fontánas
amenity	fuel	0	benzínová pumpa
amenity	fuel	1	benzínová pumpas
amenity	grave_yard	0	cintorín
amenity	grave_yard	1	cintoríns
amenity	gym	0	fitnes centrum / telocvičňa
amenity	gym	1	fitnes centrum / telocvičňas
amenity	health_centre	0	zdravotné stredisko
amenity	health_centre	1	zdravotné strediskos
amenity	hospital	0	nemocnica
amenity	hospital	1	nemocnicas
amenity	hotel	0	hotel
amenity	hotel	1	hotels
amenity	hunting_stand	0	poľovnícky posed
amenity	hunting_stand	1	poľovnícky poseds
amenity	ice_cream	0	zmrzlina
amenity	ice_cream	1	zmrzlinas
amenity	kindergarten	0	materská škola
amenity	kindergarten	1	materská školas
amenity	library	0	knižnica
amenity	library	1	knižnicas
amenity	market	0	obchod
amenity	market	1	obchods
amenity	marketplace	0	tržnica
amenity	marketplace	1	tržnicas
amenity	mountain_rescue	0	horská služba
amenity	mountain_rescue	1	horská službas
amenity	nightclub	0	'nočný klub'
amenity	nightclub	1	'nočný klub's
amenity	nursery	0	jasle
amenity	nursery	1	jasles
amenity	nursing_home	0	sanatórium
amenity	nursing_home	1	sanatóriums
amenity	office	0	úrad
