key	value	is_plural	phrase
aeroway	aerodrome	0	flygplats
aeroway	aerodrome	1	flygplatser
amenity	atm	0	bankomat
amenity	atm	1	bankomater
amenity	bank	0	bank
amenity	bank	1	banker
amenity	bar	0	bar
amenity	bar	1	barer
amenity	bench	0	bänk
amenity	bench	1	bänkar
amenity	bicycle_parking	0	cykelparkering
amenity	bicycle_parking	1	cykelparkeringar
amenity	bicycle_rental	0	cykeluthyrning
amenity	bicycle_rental	1	cykeluthyrningar
amenity	brothel	0	bordell
amenity	brothel	1	bordeller
amenity	bureau_de_change	0	växlingskontor
amenity	bureau_de_change	1	växlingskontor
amenity	bus_station	0	busstation
amenity	bus_station	1	busstationer
amenity	car_rental	0	biluthyrning
amenity	car_rental	1	biluthyrningar
amenity	car_sharing	0	bilpool
amenity	car_sharing	1	bilpooler
amenity	car_wash	0	biltvätt
amenity	car_wash	1	biltvättar
amenity	cinema	0	biograf
amenity	cinema	1	biografer
amenity	crematorium	0	krematorium
amenity	crematorium	1	krematorier
amenity	dentist	0	tandläkare
amenity	dentist	1	tandläkare
amenity	doctors	0	läkare
amenity	doctors	1	läkare
amenity	drinking_water	0	dricksvatten
amenity	drinking_water	1	dricksvatten
amenity	driving_school	0	körskola
amenity	driving_school	1	körskolor
amenity	embassy	0	ambassad
amenity	embassy	1	ambassader
amenity	emergency_phone	0	nödtelefon
amenity	emergency_phone	1	nödtelefoner
amenity	fast_food	0	snabbmat
amenity	fast_food	1	snabbmat
amenity	ferry_terminal	0	färjeterminal
amenity	ferry_terminal	1	färjeterminaler
amenity	fire_hydrant	0	brandpost
amenity	fire_hydrant	1	brandposter
amenity	fire_station	0	brandstation
amenity	fire_station	1	brandstationer
amenity	fountain	0	fontän
amenity	fountain	1	fontäner
amenity	fuel	0	bränsle
amenity	fuel	1	bränslen
amenity	grave_yard	0	begravningsplats
amenity	grave_yard	1	begravningsplatser
amenity	hospital	0	sjukhus
amenity	hospital	1	sjukhus
amenity	hotel	0	hotell
amenity	hotel	1	hotell
amenity	ice_cream	0	glass
amenity	ice_cream	1	glass
amenity	kindergarten	0	dagis
amenity	kindergarten	1	dagis
amenity	library	0	bibliotek
amenity	library	1	bibliotek
amenity	market	0	torghandel
amenity	market	1	torghandlar
amenity	marketplace	0	marknad
amenity	marketplace	1	marknader
amenity	nightclub	0	nattklubb
amenity	nightclub	1	nattklubbar
amenity	office	0	kontor
amenity	office	1	kontor
amenity	parking	0	parkeringsplats
amenity	parking	1	parkeringsplatser
amenity	pharmacy	0	apotek
amenity	pharmacy	1	apotek
amenity	place_of_worship	0	plats för tillbedjan
amenity	place_of_worship	1	platser för tillbedjan
amenity	police	0	polis
amenity	police	1	poliser
amenity	post_office	0	postkontor
amenity	post_office	1	postkontor
amenity	preschool	0	förskola
amenity	preschool	1	förskolor
amenity	prison	0	fängelse
amenity	prison	1	fängelser
amenity	pub	0	pub
amenity	pub	1	pubar
amenity	public_building	0	offentlig byggnad
amenity	public_building	1	offentliga byggnader
amenity	recycling	0	återvinningsstation
amenity	recycling	1	återvinningsstationer
amenity	restaurant	0	restaurang
amenity	restaurant	1	restauranger
amenity	retirement_home	0	äldreboende
amenity	retirement_home	1	äldreboenden
amenity	sauna	0	bastu
amenity	sauna	1	bastur
amenity	school	0	skola
amenity	school	1	skolor
amenity	shop	0	affär
amenity	shop	1	affärer
amenity	taxi	0	taxi
amenity	taxi	1	taxis
amenity	theatre	0	teater
amenity	theatre	1	teatrar
amenity	toilets	0	toalett
amenity	toilets	1	toaletter
amenity	vending_machine	0	varumaskin
amenity	vending_machine	1	varumaskiner
amenity	veterinary	0	veterinär
amenity	veterinary	1	veterinärer
amenity	waste_basket	0	papperskorg
amenity	waste_basket	1	papperskorgar
amenity	youth_centre	0	ungdomscenter
amenity	youth_centre	1	ungdomscenter
building	chapel	0	kapell
building	chapel	1	kapell
building	church	0	kyrka
building	church	1	kyrkor
building	garage	0	garage
building	garage	1	garage
building	hospital	0	sjukhusbyggnad
building	hospital	1	sjukhusbyggnader
building	hotel	0	hotell
building	hotel	1	hotell
building	house	0	hus
building	house	1	hus
building	office	0	kontorsbyggnad
building	office	1	kontorsbyggnader
building	school	0	skolbyggnad
building	school	1	skolbyggnader
building	shop	0	affär
building	shop	1	affärer
building	terrace	0	terass
building	terrace	1	terasser
building	train_station	0	järnvägsstation
building	train_station	1	järnvägsstationer
highway	bus_stop	0	busshållplats
highway	bus_stop	1	busshållplatser
highway	construction	0	väg under konstruktion
highway	construction	1	vägar under konstruktion
highway	cycleway	0	cykelspår
highway	cycleway	1	cykelspår
highway	footway	0	gångväg
highway	footway	1	gångvägar
highway	gate	0	grind
highway	gate	1	grindar
highway	motorway	0	motorväg
highway	motorway	1	motorvägar
highway	pedestrian	0	gångväg
highway	pedestrian	1	gångvägar
highway	platform	0	perrong
highway	platform	1	perronger
highway	road	0	väg
highway	road	1	vägar
highway	steps	0	trappa
highway	steps	1	trappor
highway	trail	0	vandringsled
highway	trail	1	vandringsleder
highway	unsurfaced	0	oasfalterad väg
highway	unsurfaced	1	oasfalterade vägar
historic	archaeological_site	0	arkeologisk plats
historic	archaeological_site	1	arkeologiska platser
historic	battlefield	0	slagfält
historic	battlefield	1	slagfält
historic	boundary_stone	0	gränssten
historic	boundary_stone	1	gränsstenar
historic	building	0	byggnad
historic	building	1	byggnader
historic	castle	0	slott
historic	castle	1	slott
historic	church	0	kyrka
historic	church	1	kyrkor
historic	house	0	hus
historic	house	1	hus
historic	icon	0	ikon
historic	icon	1	ikoner
historic	mine	0	gruva
historic	mine	1	gruvor
historic	monument	0	monument
historic	monument	1	monument
historic	museum	0	museum
historic	museum	1	museer
historic	ruins	0	ruin
historic	ruins	1	ruiner
historic	tower	0	torn
historic	tower	1	torn
historic	wreck	0	vrak
historic	wreck	1	vrak
landuse	allotments	0	kolonilott
landuse	allotments	1	kolonilotter
landuse	cemetery	0	begravningsplats
landuse	cemetery	1	begravningsplatser
landuse	farm	0	bondgård
landuse	farm	1	bondgårdar
landuse	forest	0	skog
landuse	forest	1	skogar
landuse	industrial	0	industriområde
landuse	industrial	1	industriområden
landuse	military	0	militärområde
landuse	military	1	militärområden
landuse	mine	0	gruva
landuse	mine	1	gruvor
landuse	park	0	park
landuse	park	1	parker
landuse	residential	0	bostadsområde
landuse	residential	1	bostadsområden
landuse	vineyard	0	vingård
landuse	vineyard	1	vingårdar
leisure	fishing	0	fiskevatten
leisure	fishing	1	fiskevatten
leisure	garden	0	trädgård
leisure	garden	1	trädgårdar
leisure	golf_course	0	golfbana
leisure	golf_course	1	golfbanor
leisure	ice_rink	0	isrink
leisure	ice_rink	1	isrinkar
leisure	marina	0	marina
leisure	marina	1	marinor
leisure	miniature_golf	0	minigolf
leisure	miniature_golf	1	minigolf
leisure	nature_reserve	0	naturreservat
leisure	nature_reserve	1	naturreservat
leisure	park	0	park
leisure	park	1	parker
leisure	playground	0	lekplats
leisure	playground	1	lekplatser
leisure	sports_centre	0	sporthall
leisure	sports_centre	1	sporthallar
leisure	stadium	0	stadium
leisure	stadium	1	stadiums
leisure	water_park	0	vattenpark
leisure	water_park	1	vattenparker
natural	bay	0	bukt
natural	bay	1	bukter
natural	beach	0	strand
natural	beach	1	stränder
natural	cape	0	udde
natural	cape	1	uddar
natural	cave_entrance	0	grottmynning
natural	cave_entrance	1	grottmynningar
natural	channel	0	kanal
natural	channel	1	kanaler
natural	cliff	0	klippa
natural	cliff	1	klippor
natural	coastline	0	kustlinje
natural	coastline	1	kustlinjer
natural	crater	0	krater
natural	crater	1	kratrar
natural	fjord	0	fjord
natural	fjord	1	fjordar
natural	geyser	0	gejser
natural	geyser	1	gejsrar
natural	glacier	0	glaciär
natural	glacier	1	glaciärer
natural	hill	0	kulle
natural	hill	1	kullar
natural	island	0	ö
natural	island	1	öar
natural	marsh	0	träsk
natural	marsh	1	träsk
natural	moor	0	hed
natural	moor	1	hedar
natural	mud	0	lera
natural	mud	1	leror
natural	peak	0	topp
natural	peak	1	toppar
natural	reef	0	rev
natural	reef	1	rev
natural	river	0	flod
natural	river	1	floder
natural	rock	0	klippa
natural	rock	1	klippor
natural	scree	0	taluskon
natural	scree	1	taluskoner
natural	shoal	0	sandbank
natural	shoal	1	sandbankar
natural	spring	0	källa
natural	spring	1	källor
natural	tree	0	träd
natural	tree	1	träd
natural	valley	0	dal
natural	valley	1	dalar
natural	volcano	0	vulkan
natural	volcano	1	vulkaner
natural	water	0	vatten
natural	water	1	vatten
natural	wetland	0	våtmark
natural	wetland	1	våtmarker
natural	wood	0	skog
natural	wood	1	skogar
place	city	0	stad
place	city	1	städer
place	country	0	land
place	country	1	länder
place	county	0	län
place	county	1	län
place	farm	0	bondgård
place	farm	1	bondgårdar
place	hamlet	0	by
place	hamlet	1	byar
place	house	0	hus
place	house	1	hus
place	houses	0	hus
place	houses	1	hus
place	island	0	ö
place	island	1	öar
place	islet	0	holme
place	islet	1	holmar
place	municipality	0	kommun
place	municipality	1	kommuner
place	postcode	0	postnummer
place	postcode	1	postnummer
place	region	0	region
place	region	1	regioner
place	sea	0	hav
place	sea	1	hav
place	suburb	0	förort
place	suburb	1	förorter
place	town	0	ort
place	town	1	orter
place	village	0	mindre ort
place	village	1	mindre orter
railway	disused_station	0	nedlagd järnvägsstation
railway	disused_station	1	nedlagda järnvägsstationer
railway	funicular	0	bergbana
railway	funicular	1	bergbanor
railway	light_rail	0	spårvagn
railway	light_rail	1	spårvagnar
railway	narrow_gauge	0	smalspårsjärnväg
railway	narrow_gauge	1	smalspårsjärnvägar
railway	platform	0	tågperrong
railway	platform	1	tågperronger
railway	station	0	tågstation
railway	station	1	tågstationer
railway	subway_entrance	0	tunnelbaneingång
railway	subway_entrance	1	tunnelbaneingångar
shop	bakery	0	bageri
shop	bakery	1	bagerier
shop	bicycle	0	cykelaffär
shop	bicycle	1	cykelaffärer
shop	books	0	bokhandel
shop	books	1	bokhandlar
shop	butcher	0	slaktare
shop	butcher	1	slaktare
shop	car_dealer	0	bilförsäljare
shop	car_dealer	1	bilförsäljare
shop	car_parts	0	bildelar
shop	car_parts	1	bildelar
shop	car_repair	0	bilverkstad
shop	car_repair	1	bilverkstäder
shop	computer	0	datorbutik
shop	computer	1	datorbutiker
shop	convenience	0	närköp
shop	convenience	1	närköp
shop	dry_cleaning	0	kemtvätt
shop	dry_cleaning	1	kemtvättar
shop	florist	0	blommor
shop	florist	1	blommor
shop	food	0	mataffär
shop	food	1	mataffärer
shop	funeral_directors	0	begravningsbyrå
shop	funeral_directors	1	begravningsbyråer
shop	gallery	0	galleri
shop	gallery	1	galleris
shop	hairdresser	0	frisör
shop	hairdresser	1	frisörer
shop	insurance	0	försäkring
shop	insurance	1	försäkringar
shop	jewelry	0	guldsmed
shop	jewelry	1	guldsmeder
shop	kiosk	0	kiosk
shop	kiosk	1	kiosker
