key	value	is_plural	phrase
aeroway	aerodrome	0	аеропорт
aeroway	aerodrome	1	аеропортs
amenity	arts_centre	0	мистецький центр
amenity	arts_centre	1	мистецький центрs
amenity	atm	0	банкомат
amenity	atm	1	банкоматs
amenity	auditorium	0	конференц-зала
amenity	auditorium	1	конференц-залаs
amenity	bank	0	банк
amenity	bank	1	банкs
amenity	bar	0	бар
amenity	bar	1	барs
amenity	bench	0	лавка
amenity	bench	1	лавкаs
amenity	bicycle_parking	0	місце стоянки для велосипедів
amenity	bicycle_parking	1	місце стоянки для велосипедівs
amenity	bicycle_rental	0	прокат велосипедів
amenity	bicycle_rental	1	прокат велосипедівs
amenity	brothel	0	бордель
amenity	brothel	1	бордельs
amenity	bureau_de_change	0	обмін валют
amenity	bureau_de_change	1	обмін валютs
amenity	bus_station	0	автовокзал
amenity	bus_station	1	автовокзалs
amenity	cafe	0	кафе
amenity	cafe	1	кафеs
amenity	car_rental	0	прокат автомобілів
amenity	car_rental	1	прокат автомобілівs
amenity	car_sharing	0	прокат авто
amenity	car_sharing	1	прокат автоs
amenity	car_wash	0	автомийка
amenity	car_wash	1	автомийкаs
amenity	casino	0	казино
amenity	casino	1	казиноs
amenity	cinema	0	кинотеатр
amenity	cinema	1	кинотеатрs
amenity	clinic	0	клініка
amenity	clinic	1	клінікаs
amenity	club	0	клуб
amenity	club	1	клубs
amenity	college	0	коледж
amenity	college	1	коледжs
amenity	community_centre	0	громадський центр
amenity	community_centre	1	громадський центрs
amenity	courthouse	0	суд
amenity	courthouse	1	судs
amenity	crematorium	0	крематорій
amenity	crematorium	1	крематорійs
amenity	dentist	0	стоматологія
amenity	dentist	1	стоматологіяs
amenity	doctors	0	лікарі
amenity	doctors	1	лікаріs
amenity	dormitory	0	гуртожиток
amenity	dormitory	1	гуртожитокs
amenity	drinking_water	0	питна вода
amenity	drinking_water	1	питна водаs
amenity	driving_school	0	автошкола
amenity	driving_school	1	автошколаs
amenity	embassy	0	амбасада
amenity	embassy	1	амбасадаs
amenity	emergency_phone	0	телефон для екстрених викликів
amenity	emergency_phone	1	телефон для екстрених викликівs
amenity	fast_food	0	забігайлівка
amenity	fast_food	1	забігайлівкаs
amenity	ferry_terminal	0	поромна станція
amenity	ferry_terminal	1	поромна станціяs
amenity	fire_hydrant	0	пожежний гідрант
amenity	fire_hydrant	1	пожежний гідрантs
amenity	fire_station	0	пожежна станція
amenity	fire_station	1	пожежна станціяs
amenity	fountain	0	фонтан
amenity	fountain	1	фонтанs
amenity	fuel	0	пальне
amenity	fuel	1	пальнеs
amenity	grave_yard	0	цвинтар
amenity	grave_yard	1	цвинтарs
