key	value	is_plural	phrase
aeroway	aerodrome	0	sân bay
aeroway	aerodrome	1	các sân bay
aeroway	aerodrome	0	phi trường
aeroway	aerodrome	1	các phi trường
aeroway	aerodrome	0	trung tâm nghệ thuật
amenity	arts_centre	1	các trung tâm nghệ thuật
amenity	atm	0	máy rút tiền tự động
amenity	atm	1	các máy rút tiền tự động
amenity	bank	0	ngân hàng
amenity	bank	1	các ngân hàng
amenity	bar	0	quán rượu
amenity	bar	1	các quán rượu
amenity	bench	0	ghế
amenity	bench	1	các ghế
amenity	bicycle_parking	0	chỗ đậu xe đạp
amenity	bicycle_parking	1	các chỗ đậu xe đạp
amenity	bicycle_rental	0	chỗ mướn xe đạp
amenity	bicycle_rental	1	các chỗ mướn xe đạp
amenity	bus_station	0	các trạm xe buýt
amenity	bus_station	1	các trạm xe bus
amenity	cafe	0	quán cà phê
amenity	cafe	1	các quán cà phê
amenity	car_rental	0	chỗ mướn xe
amenity	car_rental	1	các chỗ mướn xe
amenity	car_sharing	0	chia sẻ xe cộ
amenity	car_sharing	1	các chia sẻ xe cộ
amenity	car_wash	0	tiệm rửa xe
amenity	car_wash	1	các tiệm rửa xe
amenity	casino	0	sòng bạc
amenity	casino	1	các sòng bạc
amenity	cinema	0	rạp phim
amenity	cinema	1	các rạp phim
amenity	club	0	câu lạc bộ
amenity	club	1	các câu lạc bộ
amenity	college	0	trường cao đẳng
amenity	college	1	các trường cao đẳng
amenity	community_centre	0	trung tâm cộng đồng
amenity	community_centre	1	các trung tâm cộng đồng
amenity	courthouse	0	tòa
amenity	courthouse	1	các tòa
amenity	dentist	0	nha sĩ
amenity	dentist	1	các nha sĩ
amenity	doctors	0	bác sĩ
amenity	doctors	1	các bác sĩ
amenity	dormitory	0	ký túc xá
amenity	dormitory	1	các ký túc xá
amenity	drinking_water	0	vòi nước uống
amenity	drinking_water	1	các vòi nước uống
amenity	driving_school	0	trường lái xe
amenity	driving_school	1	các trường lái xe
amenity	embassy	0	tòa đại sứ
amenity	embassy	1	các tòa đại sứ
amenity	emergency_phone	0	điện thoại khẩn cấp
amenity	emergency_phone	1	các điện thoại khẩn cấp
amenity	fast_food	0	nhà hàng ăn nhanh
amenity	fast_food	1	các nhà hàng ăn nhanh
amenity	ferry_terminal	0	trạm phà
amenity	ferry_terminal	1	các trạm phà
amenity	fire_hydrant	0	vòi nước máy
amenity	fire_hydrant	1	các vòi nước máy
amenity	fire_station	0	trạm cứu hỏa
amenity	fire_station	1	các trạm cứu hỏa
amenity	fountain	0	vòi nước
amenity	fountain	1	các vòi nước
amenity	fuel	0	cây xăng
amenity	fuel	1	các cây xăng
amenity	grave_yard	0	nghĩa địa
amenity	grave_yard	1	các nghĩa địa
