key	value	is_plural	phrase
aeroway	aerodrome	0	aerborzh
aeroway	aerodrome	1	aerborzhioù
amenity	arts_centre	0	kreizenn arz
amenity	arts_centre	1	kreizennoù arz
amenity	atm	0	bilhedaouer
amenity	atm	1	bilhedaouerioù
amenity	auditorium	0	selaouva
amenity	auditorium	1	selaouvaoù
amenity	bank	0	ti-bank
amenity	bank	1	ti-banks
amenity	bar	0	tavarn
amenity	bar	1	tavarns
amenity	bench	0	skaoñ
amenity	bench	1	skaoñs
amenity	bicycle_parking	0	parklec'h evit ar beloioù
amenity	bicycle_parking	1	parklec'h evit ar beloioùs
amenity	bicycle_rental	0	feurmiñ beloioù
amenity	bicycle_rental	1	feurmiñ beloioùs
amenity	brothel	0	bordel
amenity	brothel	1	bordels
amenity	bureau_de_change	0	burev eskemm
amenity	bureau_de_change	1	burev eskemms
amenity	bus_station	0	arsav bus
amenity	bus_station	1	arsav buss
amenity	cafe	0	kafedi
amenity	cafe	1	kafedis
amenity	car_rental	0	feurmiñ kirri
amenity	car_rental	1	feurmiñ kirris
amenity	car_sharing	0	leur genweturañ
amenity	car_sharing	1	leur genweturañs
amenity	car_wash	0	gwalc'hiñ kirri
amenity	car_wash	1	gwalc'hiñ kirris
amenity	casino	0	kazino
amenity	casino	1	kazinos
amenity	cinema	0	sinema
amenity	cinema	1	sinemas
amenity	clinic	0	klinikenn
amenity	clinic	1	klinikenns
amenity	club	0	klub
amenity	club	1	klubs
amenity	college	0	skol-veur pe skol-uhel
amenity	college	1	skol-veur pe skol-uhels
amenity	community_centre	0	sal liezimplij
amenity	community_centre	1	sal liezimplijs
amenity	courthouse	0	lez-varn
amenity	courthouse	1	lez-varns
amenity	crematorium	0	krematoriom
amenity	crematorium	1	krematorioms
amenity	dentist	0	dentour
amenity	dentist	1	dentours
amenity	doctors	0	mezeien
amenity	doctors	1	mezeiens
amenity	dormitory	0	kouskva
amenity	dormitory	1	kouskvas
amenity	drinking_water	0	dour mat da evañ
amenity	drinking_water	1	dour mat da evañs
amenity	driving_school	0	skol bleinañ
amenity	driving_school	1	skol bleinañs
amenity	embassy	0	kannati
amenity	embassy	1	kannatis
amenity	emergency_phone	0	pellgomzer evit an trummadoù
amenity	emergency_phone	1	pellgomzer evit an trummadoùs
amenity	fast_food	0	fast food
amenity	fast_food	1	fast foods
amenity	ferry_terminal	0	porzh karrlistri
amenity	ferry_terminal	1	porzh karrlistris
amenity	fire_hydrant	0	dour evit an tan
amenity	fire_hydrant	1	dour evit an tans
amenity	fire_station	0	kazarn pomperien
amenity	fire_station	1	kazarn pomperiens
amenity	fountain	0	feunteun
amenity	fountain	1	feunteuns
amenity	fuel	0	trelosk
amenity	fuel	1	trelosks
amenity	grave_yard	0	bered
amenity	grave_yard	1	bereds
amenity	gym	0	fitness/jiminas
amenity	gym	1	fitness/jiminass
amenity	hall	0	sal
amenity	hall	1	sals
amenity	health_centre	0	kreizenn yec'hed
amenity	health_centre	1	kreizenn yec'heds
amenity	hospital	0	ospital
amenity	hospital	1	ospitals
amenity	hotel	0	leti
amenity	hotel	1	letis
amenity	hunting_stand	0	stand tennañ
amenity	hunting_stand	1	stand tennañs
amenity	ice_cream	0	dienn skorn
amenity	ice_cream	1	dienn skorns
amenity	kindergarten	0	liorzh ar vugale
amenity	kindergarten	1	liorzh ar vugales
amenity	library	0	levraoueg
amenity	library	1	levraouegs
amenity	market	0	marc'had
amenity	market	1	marc'hads
amenity	marketplace	0	marc'hallac'h
amenity	marketplace	1	marc'hallac'hs
amenity	mountain_rescue	0	sikourioù er menezioù
amenity	mountain_rescue	1	sikourioù er menezioùs
amenity	nightclub	0	klub-noz
amenity	nightclub	1	klub-nozs
amenity	nursery	0	diwallerezh
amenity	nursery	1	diwallerezhs
amenity	nursing_home	0	ti yec'hed
amenity	nursing_home	1	ti yec'heds
amenity	office	0	burev
amenity	office	1	burevs
amenity	park	0	park
amenity	park	1	parks
amenity	parking	0	parklec'h
amenity	parking	1	parklec'hs
amenity	pharmacy	0	apotikerezh
amenity	pharmacy	1	apotikerezhs
amenity	place_of_worship	0	lec'h azeuliñ
amenity	place_of_worship	1	lec'h azeuliñs
amenity	police	0	polis
amenity	police	1	poliss
amenity	post_box	0	boest-lizheroù
amenity	post_box	1	boest-lizheroùs
amenity	post_office	0	ti-post
amenity	post_office	1	ti-posts
amenity	preschool	0	rakskol
amenity	preschool	1	rakskols
amenity	prison	0	toull-bac'h
amenity	prison	1	toull-bac'hs
amenity	pub	0	tavarn
amenity	pub	1	tavarns
amenity	public_building	0	savadur foran
amenity	public_building	1	savadur forans
amenity	public_market	0	marc'had foran
amenity	public_market	1	marc'had forans
amenity	reception_area	0	tachenn degemer
amenity	reception_area	1	tachenn degemers
amenity	recycling	0	lec'h adaozañ
amenity	recycling	1	lec'h adaozañs
amenity	restaurant	0	preti
amenity	restaurant	1	pretis
amenity	retirement_home	0	ti-retredidi
amenity	retirement_home	1	ti-retredidis
amenity	sauna	0	saona
amenity	sauna	1	saonas
amenity	school	0	skol
amenity	school	1	skols
amenity	shelter	0	gwasked
amenity	shelter	1	gwaskeds
amenity	shop	0	stal
amenity	shop	1	stals
amenity	shopping	0	prenadennoù
amenity	shopping	1	prenadennoùs
amenity	social_club	0	klub sokial
amenity	social_club	1	klub sokials
amenity	studio	0	studio
amenity	studio	1	studios
amenity	supermarket	0	gourmarc'had
amenity	supermarket	1	gourmarc'hads
amenity	taxi	0	taksi
amenity	taxi	1	taksis
amenity	telephone	0	pellgomzer foran
amenity	telephone	1	pellgomzer forans
amenity	theatre	0	c'hoariva
amenity	theatre	1	c'hoarivas
amenity	toilets	0	privezioù
amenity	toilets	1	privezioùs
amenity	townhall	0	ti-kêr
amenity	townhall	1	ti-kêrs
amenity	university	0	skol-veur
amenity	university	1	skol-veurs
amenity	vending_machine	0	ingaler emgefre
amenity	vending_machine	1	ingaler emgefres
amenity	veterinary	0	surjianerezh evit al loened
amenity	veterinary	1	surjianerezh evit al loeneds
amenity	village_hall	0	sal ar gumun
amenity	village_hall	1	sal ar gumuns
amenity	waste_basket	0	pod-lastez
amenity	waste_basket	1	pod-lastezs
amenity	wifi	0	moned wifi
amenity	wifi	1	moned wifis
amenity	youth_centre	0	kreizenn evit ar re yaouank
amenity	youth_centre	1	kreizenn evit ar re yaouanks
boundary	administrative	0	bevennoù melestradurel
