key	value	is_plural	phrase
aeroway	aerodrome	0	flughafen
aeroway	aerodrome	1	flughäfen
amenity	arts_centre	0	kulturzentrum
amenity	arts_centre	1	kulturzentren
amenity	atm	0	geldautomat
amenity	atm	1	geldautomaten
amenity	auditorium	0	hörsaal
amenity	auditorium	1	hörsäle
amenity	bank	0	bank
amenity	bank	1	banken
amenity	bar	0	bar
amenity	bar	1	bars
amenity	bench	0	bank
amenity	bench	1	bänke
amenity	bicycle_parking	0	fahrradstellplatz
amenity	bicycle_parking	1	fahrradstellplätze
amenity	bicycle_rental	0	fahrradverleih
amenity	bicycle_rental	1	fahrradverleihe
amenity	brothel	0	bordell
amenity	brothel	1	bordelle
amenity	bureau_de_change	0	wechselstube
amenity	bureau_de_change	1	wechselstuben
amenity	bus_station	0	busbahnhof
amenity	bus_station	1	busbahnhöfe
amenity	cafe	0	café
amenity	cafe	1	cafés
amenity	cafe	0	cafe
amenity	cafe	1	cafes
amenity	car_rental	0	autovermietung
amenity	car_rental	1	autovermietungen
amenity	car_sharing	0	carsharing
amenity	car_sharing	1	carsharings
amenity	car_wash	0	autowaschanlage
amenity	car_wash	1	autowaschanlagen
amenity	casino	0	casino
amenity	casino	1	casinos
amenity	cinema	0	kino
amenity	cinema	1	kinos
amenity	hospital	0	krankenhaus
amenity	hospital	1	krankenhäuser
amenity	club	0	verein
amenity	club	1	vereine
amenity	college	0	hochschule
amenity	college	1	hochschulen
amenity	community_centre	0	gemeinschaftszentrum
amenity	community_centre	1	gemeinschaftszentren
amenity	courthouse	0	gericht
amenity	courthouse	1	gerichte
amenity	crematorium	0	krematorium
amenity	crematorium	1	krematorien
amenity	dentist	0	zahnarzt
amenity	dentist	1	zahnärzte
amenity	doctors	0	arzt
amenity	doctors	1	ärzte
amenity	dojo	0	dojo
amenity	dojo	1	dojos
amenity	dojo	0	dojang
amenity	dojo	1	dojang
amenity	dojo	0	kampfsport
amenity	dojo	0	kampfkunst
amenity	dormitory	0	studentenwohnheim
amenity	dormitory	1	studentenwohnheime
amenity	drinking_water	0	trinkwasser
amenity	drinking_water	1	trinkwasser
amenity	driving_school	0	fahrschule
amenity	driving_school	1	fahrschulen
amenity	embassy	0	botschaft
amenity	embassy	1	botschaften
amenity	emergency_phone	0	notrufsäule
amenity	emergency_phone	1	notrufsäulen
amenity	fast_food	0	schnellimbiss
amenity	fast_food	1	schnellimbisse
amenity	fast_food	0	imbiss
amenity	fast_food	1	imbisse
amenity	ferry_terminal	0	fähranlegestelle
amenity	ferry_terminal	1	fähranlegestellen
amenity	fire_hydrant	0	hydrant
amenity	fire_hydrant	1	hydranten
amenity	fire_station	0	feuerwehr
amenity	fire_station	1	feuerwehren
amenity	fountain	0	springbrunnen
amenity	fountain	1	springbrunnen
amenity	fuel	0	tankstelle
amenity	fuel	1	tankstellen
amenity	grave_yard	0	friedhof
amenity	grave_yard	1	friedhöfe
amenity	gym	0	turnhalle
amenity	gym	1	turnhallen
amenity	hall	0	halle
amenity	hall	1	hallen
amenity	health_centre	0	gesundheitszentrum
amenity	health_centre	1	gesundheitszentren
amenity	hospital	0	krankenhaus
amenity	hospital	1	krankenhäuser
amenity	hotel	0	hotel
amenity	hotel	1	hotels
amenity	hunting_stand	0	hochstand
amenity	hunting_stand	1	hochstände
amenity	ice_cream	0	eisdiele
amenity	ice_cream	1	eisdielen
amenity	kindergarten	0	kindergarten
amenity	kindergarten	1	kindergärten
amenity	library	0	bücherei
amenity	library	1	büchereien
amenity	market	0	markt
amenity	market	1	märkte
amenity	marketplace	0	marktplatz
amenity	marketplace	1	marktplätze
amenity	mountain_rescue	0	bergrettung
amenity	mountain_rescue	1	bergrettung
amenity	nightclub	0	nachtklub
amenity	nightclub	1	nachtklubs
amenity	nursery	0	kinderkrippe
amenity	nursery	1	kinderkrippen
amenity	nursing_home	0	pflegeheim
amenity	nursing_home	1	pflegeheime
amenity	office	0	büro
amenity	office	1	büros
amenity	park	0	park
amenity	park	1	parks
amenity	parking	0	parkplatz
amenity	parking	1	parkplätze
amenity	pharmacy	0	apotheke
amenity	pharmacy	1	apotheken
amenity	place_of_worship	0	andachtsstätte
amenity	place_of_worship	1	andachtsstätten
amenity	police	0	polizei
amenity	police	1	polizei
amenity	post_box	0	briefkasten
amenity	post_box	1	briefkästen
amenity	post_office	0	postamt
amenity	post_office	1	postämter
amenity	preschool	0	vorschule
amenity	preschool	1	vorschulen
amenity	prison	0	gefängnis
amenity	prison	1	gefängnisse
amenity	pub	0	kneipe
amenity	pub	1	kneipen
amenity	public_building	0	öffentliches gebäude
amenity	public_building	1	öffentliche gebäude
amenity	public_market	0	öffentlicher markt
amenity	public_market	1	öffentliche märkte
amenity	reception_area	0	empfangsbereich
amenity	reception_area	1	empfangsbereiche
amenity	recycling	0	recyclingeinrichtung
amenity	recycling	1	recyclingeinrichtungen
amenity	restaurant	0	restaurant
amenity	restaurant	1	restaurants
amenity	restaurant	0	gaststätte
amenity	restaurant	1	gaststätten
amenity	restaurant	0	gasthaus
amenity	restaurant	1	gasthäuser
amenity	retirement_home	0	altersheim
amenity	retirement_home	1	altersheime
amenity	sauna	0	sauna
amenity	sauna	1	saunen
amenity	school	0	schule
amenity	school	1	schulen
amenity	shelter	0	schutzhütte
amenity	shelter	1	schutzhütten
amenity	shop	0	geschäft
amenity	shop	1	geschäfte
amenity	shopping	0	einkaufszentrum
amenity	shopping	1	einkaufszentren
amenity	social_club	0	geselligkeitsverein
amenity	social_club	1	geselligkeitsvereine
amenity	studio	0	studio
amenity	studio	1	studios
amenity	supermarket	0	supermarkt
amenity	supermarket	1	supermärkte
amenity	swingerclub	0	swingerclub
amenity	swingerclub	1	swingerclubs
amenity	taxi	0	taxistand
amenity	taxi	1	taxistände
amenity	telephone	0	telefonzelle
amenity	telephone	1	telefonzellen
amenity	theatre	0	theater
amenity	theatre	1	theater
amenity	toilets	0	wc
amenity	toilets	1	wcs
amenity	toilets	0	toilette
amenity	toilets	1	toiletten
amenity	townhall	0	rathaus
amenity	townhall	1	rathäuser
amenity	university	0	universität
amenity	university	1	universitäten
amenity	vending_machine	0	automat
amenity	vending_machine	1	automaten
amenity	veterinary	0	tierarzt
amenity	veterinary	1	tierärzte
amenity	village_hall	0	gemeindezentrum
amenity	village_hall	1	gemeindezentren
amenity	waste_basket	0	mülleimer
amenity	waste_basket	1	mülleimer
amenity	wifi	0	wlan-access-point
amenity	wifi	1	wlan-access-points
amenity	youth_centre	0	jugendzentrum
amenity	youth_centre	1	jugendzentren
boundary	administrative	0	verwaltungsgrenze
boundary	administrative	1	verwaltungsgrenzen
building	apartments	0	wohnblock
building	apartments	1	wohnblöcke
building	block	0	gebäudeblock
building	block	1	gebäudeblöcke
building	bunker	0	bunker
building	bunker	1	bunker
building	chapel	0	kapelle
building	chapel	1	kapellen
building	church	0	kirche
building	church	1	kirchen
building	city_hall	0	rathaus
building	city_hall	1	rathäuser
building	commercial	0	gewerbegebäude
building	commercial	1	gewerbegebäude
building	dormitory	0	studentenwohnheim
building	dormitory	1	studentenwohnheime
building	entrance	0	eingang
building	entrance	1	eingänge
building	faculty	0	ausbildungsgebäude
building	faculty	1	ausbildungsgebäude
building	farm	0	bauernhof
building	farm	1	bauernhöfe
building	flats	0	wohnung
building	flats	1	wohnungen
building	garage	0	garage
building	garage	1	garagen
building	hall	0	halle
building	hall	1	hallen
building	hospital	0	spital
building	hospital	1	spitäler
building	hotel	0	hotel
building	hotel	1	hotels
building	house	0	haus
building	house	1	häuser
building	industrial	0	industriegebäude
building	industrial	1	industriegebäude
building	office	0	bürogebäude
building	office	1	bürogebäude
building	public	0	öffentliches gebäude
building	public	1	öffentliche gebäude
building	residential	0	wohngebäude
building	residential	1	wohngebäude
building	retail	0	einzelhandelsgebäude
building	retail	1	einzelhandelsgebäude
building	school	0	schulgebäude
building	school	1	schulgebäude
building	shop	0	geschäft
building	shop	1	geschäfte
building	stadium	0	stadion
building	stadium	1	stadien
building	store	0	warenhäuser
building	store	1	warenhäuser
building	terrace	0	terrasse
building	terrace	1	terrassen
building	tower	0	turm
building	tower	1	türme
building	train_station	0	bahnhof
building	train_station	1	bahnhöfe
building	university	0	universitätsgebäude
building	university	1	universitätsgebäude
building	&quot;yes&quot;	0	gebäude
building	&quot;yes&quot;	1	gebäude
