key	value	is_plural	phrase
aeroway	aerodrome	0	lennujaam
amenity	atm	0	pangaautomaat
amenity	atm	1	pangaautomaadid
amenity	auditorium	0	auditoorium
amenity	auditorium	1	auditooriumid
amenity	bank	0	pank
amenity	bank	1	pangad
amenity	bench	0	pink
amenity	bench	1	pingid
amenity	bicycle_parking	0	jalgrattaparkla
amenity	bicycle_parking	1	jalgrattaparklad
amenity	bicycle_rental	0	jalgrattarent
amenity	bicycle_rental	1	jalgrattarendid
amenity	bureau_de_change	0	rahavahetus
amenity	bureau_de_change	1	rahavahetused
amenity	bus_station	0	bussijaam
amenity	bus_station	1	bussijaamad
amenity	cafe	0	kohvik
amenity	cafe	1	kohvikud
amenity	car_rental	0	autorent
amenity	car_rental	1	autorendid
amenity	car_wash	0	autopesu
amenity	car_wash	1	autopesud
amenity	casino	0	kasiino
amenity	casino	1	kasiinod
amenity	cinema	0	kino
amenity	cinema	1	kinod
amenity	clinic	0	kliinik
amenity	clinic	1	kliinikud
amenity	club	0	klubi
amenity	club	1	klubid
amenity	courthouse	0	kohtuhoone
amenity	courthouse	1	kohtuhooned
amenity	crematorium	0	krematoorium
amenity	crematorium	1	krematooriumid
amenity	dentist	0	hambaarst
amenity	dentist	1	hambaarstid
amenity	drinking_water	0	joogivesi
amenity	drinking_water	1	joogiveed
amenity	driving_school	0	autokool
amenity	driving_school	1	autokoolid
amenity	embassy	0	saatkond
amenity	embassy	1	saatkonnad
amenity	fast_food	0	kiirtoit
amenity	fast_food	1	kiirtoidud
amenity	fuel	0	kütus
amenity	fuel	1	kütused
amenity	grave_yard	0	surnuaed
amenity	grave_yard	1	surnuaiad
amenity	hospital	0	haigla
amenity	hospital	1	haiglad
amenity	hotel	0	hotell
amenity	hotel	1	hotellid
amenity	ice_cream	0	jäätis
amenity	ice_cream	1	jäätised
amenity	kindergarten	0	lasteaed
amenity	kindergarten	1	lasteaiad
amenity	library	0	raamatukogu
amenity	library	1	raamatukogud
amenity	market	0	turg
amenity	market	1	turgud
amenity	nightclub	0	ööklubi
amenity	nightclub	1	ööklubid
amenity	pharmacy	0	apteek
amenity	pharmacy	1	apteegid
amenity	police	0	politsei
amenity	police	1	politseid
amenity	post_box	0	postkast
amenity	post_box	1	postkastid
amenity	post_office	0	postkontor
amenity	post_office	1	postkontorid
amenity	preschool	0	lasteaed
amenity	preschool	1	lasteaiad
amenity	prison	0	vangla
amenity	prison	1	vanglad
amenity	reception_area	0	vastuvõtt
amenity	reception_area	1	vastuvõtud
amenity	restaurant	0	restoran
amenity	restaurant	1	restoranid
amenity	retirement_home	0	vanadekodu
amenity	retirement_home	1	vanadekodud
amenity	sauna	0	saun
amenity	sauna	1	saunad
amenity	school	0	kool
amenity	school	1	koolid
amenity	shop	0	kauplus
amenity	shop	1	kauplused
amenity	supermarket	0	supermarket
amenity	supermarket	1	supermarketid
amenity	taxi	0	takso
amenity	taxi	1	taksod
amenity	theatre	0	teater
amenity	theatre	1	teatrid
amenity	toilets	0	wc
amenity	toilets	1	wcd
amenity	university	0	ülikool
amenity	university	1	ülikoolid
amenity	waste_basket	0	prügikast
amenity	waste_basket	1	prügikastid
amenity	wifi	0	wifi
amenity	wifi	1	wifid
amenity	youth_centre	0	noortekeskus
amenity	youth_centre	1	noortekeskused
building	chapel	0	kabel
building	chapel	1	kabelid
building	church	0	kirik
building	church	1	kirikud
building	hotel	0	hotell
building	hotel	1	hotellid
building	school	0	koolihoone
building	school	1	koolihooned
building	shop	0	kauplus
building	shop	1	kauplused
building	stadium	0	staadion
building	stadium	1	staadionid
building	tower	0	torn
building	tower	1	tornid
building	train_station	0	raudteejaam
building	train_station	1	raudteejaamad
building	university	0	ülikoolihoone
building	university	1	ülikoolihooned
building	&quot;yes&quot;	0	hoone
building	&quot;yes&quot;	1	hooned
highway	bus_stop	0	bussipeatus
highway	bus_stop	1	bussipeatused
highway	cycleway	0	jalgrattatee
highway	cycleway	1	jalgrattateed
highway	footway	0	jalgrada
highway	footway	1	jalgrajad
highway	pedestrian	0	jalakäijatele
highway	pedestrian	1	jalakäijarajad
historic	castle	0	kindlus
historic	castle	1	kindlused
historic	church	0	kirik
historic	church	1	kirikud
historic	icon	0	ikoon
historic	icon	1	ikoonid
historic	manor	0	mõis
historic	manor	1	mõisad
historic	museum	0	muuseum
historic	museum	1	muuseumid
historic	ruins	0	varemed
historic	ruins	1	varemed
historic	tower	0	torn
historic	tower	1	tornid
landuse	cemetery	0	surnuaed
landuse	cemetery	1	surnuaiad
