ISO 639-3	ISO 639-2B	ISO 639-2T	ISO 639-1	type	macro
aaa				I	
aab				I	
aac				I	
aad				I	
aae				I	sqi
aaf				I	
aag				I	
aah				I	
aai				I	
aak				I	
aal				I	
aan				I	
aao				I	ara
aap				I	
aar	aar	aar	aa	I	
aas				I	
aat				I	sqi
aau				I	
aaw				I	
aax				I	
aaz				I	
aba				I	
abb				I	
abc				I	
abd				I	
abe				I	
abf				I	
abg				I	
abh				I	ara
abi				I	
abk	abk	abk	ab	I	
abl				I	
abm				I	
abn				I	
abo				I	
abp				I	
abq				I	
abr				I	
abs				I	
abt				I	
abu				I	
abv				I	ara
abw				I	
abx				I	
aby				I	
abz				I	
aca				I	
acb				I	
acd				I	
ace	ace	ace		I	
acf				I	
ach	ach	ach		I	
acm				I	ara
acn				I	
acp				I	
acq				I	ara
acr				I	
act				I	
acu				I	
acv				I	
acw				I	ara
acx				I	ara
acy				I	ara
acz				I	
ada	ada	ada		I	
adb				I	
add				I	
ade				I	
adf				I	ara
adg				I	
adh				I	
adi				I	
adj				I	
adl				I	
adn				I	
ado				I	
adq				I	
adr				I	
ads				I	
adt				I	
adu				I	
adw				I	
adx				I	
ady	ady	ady		I	
adz				I	
aeb				I	ara
aec				I	ara
aed				I	
aee				I	
aek				I	
ael				I	
aem				I	
aen				I	
aeq				I	
aer				I	
aeu				I	
aew				I	
aey				I	
aez				I	
afb				I	ara
afd				I	
afe				I	
afg				I	
afi				I	
afk				I	
afn				I	
afo				I	
afp				I	
afr	afr	afr	af	I	
afs				I	
aft				I	
afu				I	
afz				I	
agb				I	
agc				I	
agd				I	
age				I	
agf				I	
agg				I	
agh				I	
agi				I	
agj				I	
agk				I	
agl				I	
agm				I	
agn				I	
ago				I	
agq				I	
agr				I	
ags				I	
agt				I	
agu				I	
agv				I	
agw				I	
agx				I	
agy				I	
agz				I	
aha				I	
ahb				I	
ahg				I	
ahh				I	
ahi				I	
ahk				I	
ahl				I	
ahm				I	
ahn				I	
ahp				I	
ahr				I	
ahs				I	
aht				I	
aia				I	
aib				I	
aic				I	
aie				I	
aif				I	
aig				I	
aih				I	
aii				I	syr
aij				I	
aik				I	
ail				I	
aim				I	
ain	ain	ain		I	
aio				I	
aip				I	
aiq				I	
air				I	
ais				I	
aiw				I	
aix				I	
aiy				I	
aja				I	
ajg				I	
aji				I	
ajn				I	
ajp				I	ara
ajt				I	jrb
aju				I	jrb
ajz				I	
aka	aka	aka	ak	M	
akb				I	
akc				I	
akd				I	
ake				I	
akf				I	
akg				I	
akh				I	
aki				I	
akl				I	
ako				I	
akp				I	
akq				I	
akr				I	
aks				I	
akt				I	
aku				I	
akv				I	
akw				I	
akz				I	
ala				I	
alc				I	
ald				I	
ale	ale	ale		I	
alf				I	
alh				I	
ali				I	
alj				I	
alk				I	
all				I	
alm				I	
aln				I	sqi
alo				I	
alp				I	
alq				I	
alr				I	
als				I	sqi
alt	alt	alt		I	
alu				I	
alw				I	
alx				I	
aly				I	
alz				I	
amb				I	
amc				I	
ame				I	
amf				I	
amg				I	
amh	amh	amh	am	I	
ami				I	
amj				I	
amk				I	
aml				I	
amm				I	
amn				I	
amo				I	
amp				I	
amq				I	
amr				I	
ams				I	
amt				I	
amu				I	
amv				I	
amw				I	
amx				I	
amy				I	
anc				I	
and				I	
ane				I	
anf				I	
anh				I	
ani				I	
anj				I	
ank				I	
anl				I	
anm				I	
ann				I	
ano				I	
anp	anp	anp		I	
anq				I	
anr				I	
ant				I	
anu				I	
anv				I	
anw				I	
anx				I	
any				I	
anz				I	
aoa				I	
aob				I	
aoc				I	
aod				I	
aoe				I	
aof				I	
aog				I	
aoi				I	
aoj				I	
aok				I	
aol				I	
aom				I	
aon				I	
aos				I	
aot				I	
aou				I	
aox				I	
aoz				I	
apb				I	
apc				I	ara
apd				I	ara
ape				I	
apf				I	
apg				I	
aph				I	
api				I	
apj				I	
apk				I	
apl				I	
apm				I	
apn				I	
apo				I	
app				I	
apq				I	
apr				I	
aps				I	
apt				I	
apu				I	
apw				I	
apx				I	
apy				I	
apz				I	
aqc				I	
aqd				I	
aqg				I	
aqm				I	
aqn				I	
aqr				I	
aqt				I	
aqz				I	
ara	ara	ara	ar	M	
arb				I	ara
are				I	
arg	arg	arg	an	I	
arh				I	
ari				I	
ark				I	
arl				I	
arn	arn	arn		I	
aro				I	
arp	arp	arp		I	
arq				I	ara
arr				I	
ars				I	ara
arv				I	
arw	arw	arw		I	
arx				I	
ary				I	ara
arz				I	ara
asa				I	
asb				I	
asc				I	
asd				I	
ase				I	
asf				I	
asg				I	
asi				I	
asj				I	
ask				I	
asl				I	
asm	asm	asm	as	I	
asn				I	
aso				I	
asp				I	
asq				I	
asr				I	
ass				I	
ast	ast	ast		I	
asu				I	
asv				I	
asw				I	
asx				I	
asy				I	
asz				I	
ata				I	
atb				I	
atd				I	
ate				I	
atg				I	
ati				I	
atj				I	
atk				I	
atl				I	
atm				I	
atn				I	
ato				I	
atp				I	
atq				I	
atr				I	
ats				I	
att				I	
atu				I	
atv				I	
atw				I	
atx				I	
aty				I	
atz				I	
aua				I	
aub				I	
auc				I	
aud				I	
aug				I	
auh				I	
aui				I	
auj				I	
auk				I	
aul				I	
aum				I	
aun				I	
aup				I	
auq				I	
aur				I	
aut				I	
auu				I	
auw				I	
auy				I	
auz				I	ara
ava	ava	ava	av	I	
avb				I	
avd				I	
avi				I	
avl				I	ara
avn				I	
avt				I	
avu				I	
avv				I	
awa	awa	awa		I	
awb				I	
awc				I	
awe				I	
awh				I	
awi				I	
awm				I	
awn				I	
awo				I	
awr				I	
aws				I	
awt				I	
awu				I	
awv				I	
aww				I	
awx				I	
awy				I	
axk				I	
axx				I	
aya				I	
ayb				I	
ayc				I	aym
aye				I	
ayg				I	
ayh				I	ara
ayi				I	
ayk				I	
ayl				I	ara
aym	aym	aym	ay	M	
ayn				I	ara
ayo				I	
ayp				I	ara
ayq				I	
ayr				I	aym
ays				I	
ayt				I	
ayu				I	
ayz				I	
aza				I	
azb				I	aze
azd				I	
aze	aze	aze	az	M	
azg				I	
azj				I	aze
azm				I	
azn				I	
azo				I	
azt				I	
azz				I	
baa				I	
bab				I	
bac				I	
baf				I	
bag				I	
bah				I	
baj				I	
bak	bak	bak	ba	I	
bal	bal	bal		M	
bam	bam	bam	bm	I	
ban	ban	ban		I	
bao				I	
bap				I	
bar				I	
bas	bas	bas		I	
bau				I	
bav				I	
baw				I	
bax				I	
bay				I	
bba				I	
bbb				I	
bbc				I	
bbd				I	
bbe				I	
bbf				I	
bbg				I	
bbh				I	
bbi				I	
bbj				I	
bbk				I	
bbl				I	
bbm				I	
bbn				I	
bbo				I	
bbp				I	
bbq				I	
bbr				I	
bbs				I	
bbt				I	
bbu				I	
bbv				I	
bbw				I	
bbx				I	
bby				I	
bbz				I	ara
bca				I	
bcb				I	
bcc				I	bal
bcd				I	
bce				I	
bcf				I	
bcg				I	
bch				I	
bci				I	
bcj				I	
bck				I	
bcl				I	bik
bcm				I	
bcn				I	
bco				I	
bcp				I	
bcq				I	
bcr				I	
bcs				I	
bct				I	
bcu				I	
bcv				I	
bcw				I	
bcy				I	
bcz				I	
bda				I	
bdb				I	
bdc				I	
bdd				I	
bde				I	
bdf				I	
bdg				I	
bdh				I	
bdi				I	
bdj				I	
bdk				I	
bdl				I	
bdm				I	
bdn				I	
bdo				I	
bdp				I	
bdq				I	
bdr				I	
bds				I	
bdt				I	gba
bdu				I	
bdv				I	
bdw				I	
bdx				I	
bdy				I	
bdz				I	
bea				I	
beb				I	
bec				I	
bed				I	
bee				I	
bef				I	
beg				I	
beh				I	
bei				I	
bej	bej	bej		I	
bek				I	
bel	bel	bel	be	I	
bem	bem	bem		I	
ben	ben	ben	bn	I	
beo				I	
bep				I	
beq				I	
bes				I	
bet				I	
beu				I	
bev				I	
bew				I	
bex				I	
bey				I	
bez				I	
bfa				I	
bfb				I	
bfc				I	
bfd				I	
bfe				I	
bff				I	
bfg				I	
bfh				I	
bfi				I	
bfj				I	
bfk				I	
bfl				I	
bfm				I	
bfn				I	
bfo				I	
bfp				I	
bfq				I	
bfr				I	
bfs				I	
bft				I	
bfu				I	
bfw				I	
bfx				I	
bfy				I	
bfz				I	
bga				I	
bgb				I	
bgc				I	
bgd				I	
bge				I	
bgf				I	
bgg				I	
bgi				I	
bgj				I	
bgk				I	
bgl				I	
bgm				I	
bgn				I	bal
bgo				I	
bgp				I	bal
bgq				I	raj
bgr				I	
bgs				I	
bgt				I	
bgu				I	
bgv				I	
bgw				I	
bgx				I	
bgy				I	
bgz				I	
bha				I	
bhb				I	
bhc				I	
bhd				I	
bhe				I	
bhf				I	
bhg				I	
bhh				I	
bhi				I	
bhj				I	
bhl				I	
bhm				I	
bhn				I	
bho	bho	bho		I	
bhp				I	
bhq				I	
bhr				I	mlg
bhs				I	
bht				I	
bhu				I	
bhv				I	
bhw				I	
bhx				I	
bhy				I	
bhz				I	
bia				I	
bib				I	
bic				I	
bid				I	
bie				I	
bif				I	
big				I	
bij				I	
bik	bik	bik		M	
bil				I	
bim				I	
bin	bin	bin		I	
bio				I	
bip				I	
biq				I	
bir				I	
bis	bis	bis	bi	I	
bit				I	
biu				I	
biv				I	
biw				I	
bix				I	
biy				I	
biz				I	
bja				I	
bjc				I	
bje				I	
bjf				I	
bjg				I	
bjh				I	
bji				I	
bjj				I	
bjk				I	
bjl				I	
bjm				I	
bjn				I	msa
bjo				I	
bjp				I	
bjr				I	
bjs				I	
bjt				I	
bju				I	
bjv				I	
bjw				I	
bjx				I	
bjz				I	
bka				I	
bkc				I	
bkd				I	
bkf				I	
bkg				I	
bkh				I	
bki				I	
bkj				I	
bkk				I	
bkl				I	
bkm				I	
bkn				I	
bko				I	
bkp				I	
bkq				I	
bkr				I	
bks				I	
bkt				I	
bku				I	
bkv				I	
bkw				I	
bkx				I	
bky				I	
bkz				I	
bla	bla	bla		I	
blb				I	
blc				I	
bld				I	
ble				I	
blf				I	
blg				I	
blh				I	
bli				I	
blj				I	
blk				I	
blm				I	
bln				I	bik
blo				I	
blp				I	
blq				I	
blr				I	
bls				I	
blt				I	
blv				I	
blw				I	
blx				I	
bly				I	
blz				I	
bma				I	
bmb				I	
bmc				I	
bmd				I	
bme				I	
bmf				I	
bmg				I	
bmh				I	
bmi				I	
bmj				I	
bmk				I	
bml				I	
bmm				I	mlg
bmo				I	
bmp				I	
bmq				I	
bmr				I	
bms				I	
bmt				I	
bmu				I	
bmv				I	
bmw				I	
bmx				I	
bmz				I	
bna				I	
bnb				I	
bnc				M	
bnd				I	
bne				I	
bnf				I	
bng				I	
bni				I	
bnj				I	
bnk				I	
bnl				I	
bnm				I	
bnn				I	
bno				I	
bnp				I	
bnq				I	
bnr				I	
bns				I	
bnu				I	
bnv				I	
bnw				I	
bnx				I	
bny				I	
bnz				I	
boa				I	
bob				I	
bod	tib	bod	bo	I	
boe				I	
bof				I	
bog				I	
boh				I	
boj				I	
bok				I	
bol				I	
bom				I	
bon				I	
boo				I	
bop				I	
boq				I	
bor				I	
bos	bos	bos	bs	I	hbs
bot				I	
bou				I	
bov				I	
box				I	
boy				I	
boz				I	
bpa				I	
bpd				I	
bpg				I	
bph				I	
bpi				I	
bpj				I	
bpk				I	
bpl				I	
bpm				I	
bpn				I	
bpo				I	
bpp				I	
bpq				I	
bpr				I	
bps				I	
bpu				I	
bpv				I	
bpw				I	
bpx				I	
bpy				I	
bpz				I	
bqa				I	
bqb				I	
bqc				I	
bqd				I	
bqg				I	
bqh				I	
bqi				I	
bqj				I	
bqk				I	
bql				I	
bqm				I	
bqn				I	
bqo				I	
bqp				I	
bqq				I	
bqr				I	
bqs				I	
bqt				I	
bqu				I	
bqv				I	
bqw				I	
bqx				I	
bqy				I	
bqz				I	
bra	bra	bra		I	
brb				I	
brd				I	
bre	bre	bre	br	I	
brf				I	
brg				I	
brh				I	
bri				I	
brj				I	
brl				I	
brm				I	
brn				I	
bro				I	
brp				I	
brq				I	
brr				I	
brs				I	
brt				I	
bru				I	
brv				I	
brw				I	
brx				I	
bry				I	
brz				I	
bsa				I	
bsb				I	
bsc				I	
bse				I	
bsf				I	
bsg				I	
bsh				I	
bsi				I	
bsj				I	
bsk				I	
bsm				I	
bsn				I	
bso				I	
bsp				I	
bsq				I	
bsr				I	
bss				I	
bst				I	
bsu				I	
bsw				I	
bsx				I	
bsy				I	
bta				I	
btc				I	
btd				I	
btf				I	
btg				I	
bth				I	
bti				I	
btj				I	msa
btl				I	
btm				I	
btn				I	
bto				I	bik
btp				I	
btq				I	
btr				I	
bts				I	
btt				I	
btu				I	
btv				I	
btw				I	
btx				I	
bty				I	
btz				I	
bua	bua	bua		M	
bub				I	
buc				I	
bud				I	
buf				I	
bug	bug	bug		I	
buh				I	
bui				I	
buj				I	
buk				I	
bul	bul	bul	bg	I	
bum				I	
bun				I	
buo				I	
bup				I	
buq				I	
bus				I	
but				I	
buu				I	
buv				I	
buw				I	
bux				I	
buy				I	
buz				I	
bva				I	
bvb				I	
bvc				I	
bvd				I	
bve				I	msa
bvf				I	
bvg				I	
bvh				I	
bvi				I	
bvj				I	
bvk				I	
bvl				I	
bvm				I	
bvn				I	
bvo				I	
bvp				I	
bvq				I	
bvr				I	
bvt				I	
bvu				I	msa
bvw				I	
bvx				I	
bvy				I	
bvz				I	
bwa				I	
bwb				I	
bwc				I	
bwd				I	
bwe				I	
