key	value	is_plural	phrase
aeroway	aerodrome	0	aeropuerto
aeroway	aerodrome	1	aeropuertos
amenity	arts_centre	0	centro de arte
amenity	arts_centre	1	centros de arte
amenity	atm	0	cajero automático
amenity	atm	1	cajeros automáticos
amenity	auditorium	0	auditorio
amenity	auditorium	1	auditorios
amenity	bank	0	banco
amenity	bank	1	bancos
amenity	bar	0	bar
amenity	bar	1	bares
amenity	bench	0	banco
amenity	bench	1	bancos
amenity	bicycle_parking	0	aparcamiento de bibicletas
amenity	bicycle_parking	1	aparcamientos de bibicletas
amenity	bicycle_rental	0	alquiler de bicicletas
amenity	bicycle_rental	1	alquileres de bicicletas
amenity	brothel	0	burdel
amenity	brothel	1	burdeles
amenity	bureau_de_change	0	casa de cambio
amenity	bureau_de_change	1	casa de cambios
amenity	bus_station	0	estación de autobuses
amenity	bus_station	1	estaciones de autobuses
amenity	cafe	0	cafetería
amenity	cafe	1	cafeterías
amenity	car_rental	0	alquiler de vehículos
amenity	car_rental	1	alquileres de vehículos
amenity	car_sharing	0	vehículo compartido
amenity	car_sharing	1	vehículos compartidos
amenity	car_wash	0	autolavado
amenity	car_wash	1	autolavados
amenity	casino	0	casino
amenity	casino	1	casinos
amenity	cinema	0	cine
amenity	cinema	1	cines
amenity	clinic	0	clínica
amenity	clinic	1	clínicas
amenity	club	0	club
amenity	club	1	clubes
amenity	club	1	clubs
amenity	college	0	universidad o instituto
amenity	college	1	universidades o institutos
amenity	community_centre	0	centro comunitario
amenity	community_centre	1	centros comunitarios
amenity	courthouse	0	juzgado
amenity	courthouse	1	juzgados
amenity	crematorium	0	crematorio
amenity	crematorium	1	crematorios
amenity	dentist	0	dentista
amenity	dentist	1	dentistas
amenity	doctors	0	consultorio médico
amenity	doctors	1	consultorios médicos
amenity	doctors	0	centro médico
amenity	doctors	1	centros médicos
amenity	dormitory	0	residencia de estudiantes
amenity	dormitory	1	residencias de estudiantes
amenity	dormitory	0	colegio mayor
amenity	dormitory	1	colegios mayores
amenity	driving_school	0	autoescuela
amenity	driving_school	1	autoescuelas
amenity	embassy	0	embajada
amenity	embassy	1	embajadas
amenity	emergency_phone	0	teléfono de emergencia
amenity	emergency_phone	1	teléfonos de emergencia
amenity	fast_food	0	comida rápida
amenity	fast_food	1	comidas rápidas
amenity	ferry_terminal	0	terminal de ferry
amenity	ferry_terminal	1	terminales de ferry
amenity	fire_hydrant	0	hidrante
amenity	fire_hydrant	1	hidrantes
amenity	fire_station	0	parque de bomberos
amenity	fire_station	1	parques de bomberos
amenity	fountain	0	fuente
amenity	fountain	1	fuentes
amenity	fuel	0	gasolinera
amenity	fuel	1	gasolineras
amenity	grave_yard	0	cementerio
amenity	grave_yard	1	cementerios
amenity	gym	0	gimnasio
amenity	gym	1	gimnasios
amenity	hall	0	salón de acto
amenity	hall	1	salones de actos
amenity	clinic	0	centro de salud
amenity	clinic	1	centros de salud
amenity	hospital	0	hospital
amenity	hospital	1	hospitales
amenity	hotel	0	hotel
amenity	hotel	1	hoteles
amenity	hunting_stand	0	apostadero de caza
amenity	hunting_stand	1	apostaderos de caza
amenity	ice_cream	0	heladería
amenity	ice_cream	1	heladerías
amenity	kindergarten	0	jardín de infancia
amenity	kindergarten	1	jardines de infancia
amenity	library	0	biblioteca
amenity	library	1	bibliotecas
amenity	market	0	mercado
amenity	market	1	mercados
amenity	marketplace	0	mercado
amenity	marketplace	1	mercados
amenity	mountain_rescue	0	rescate de montaña
amenity	mountain_rescue	1	rescates de montaña
amenity	nightclub	0	discoteca
amenity	nightclub	1	discotecas
amenity	nursery	0	enfermería
amenity	nursery	1	enfermerías
amenity	nursing_home	0	residencia de la tercera edad
amenity	nursing_home	1	residencias de la tercera edad
