key	value	is_plural	phrase
aeroway	aerodrome	0	فرودگاه
aeroway	aerodrome	1	فرودگاهs
amenity	atm	0	عابر بانک
amenity	atm	1	عابر بانکs
amenity	bank	0	بانک
amenity	bank	1	بانکs
amenity	bench	0	نیمکت
amenity	bench	1	نیمکتs
amenity	brothel	0	فاحشه خانه
amenity	brothel	1	فاحشه خانهs
amenity	cafe	0	کافه
amenity	cafe	1	کافهs
amenity	cinema	0	سینما
amenity	cinema	1	سینماs
amenity	clinic	0	درمانگاه
amenity	clinic	1	درمانگاهs
amenity	courthouse	0	دادگاه
amenity	courthouse	1	دادگاهs
amenity	dentist	0	دندانپزشک
amenity	dentist	1	دندانپزشکs
amenity	dormitory	0	خوابگاه دانشجویی
amenity	dormitory	1	خوابگاه دانشجوییs
amenity	embassy	0	سفارت
amenity	embassy	1	سفارتs
amenity	fire_station	0	آتش نشانی
amenity	fire_station	1	آتش نشانیs
amenity	fuel	0	پمپ بنزین
amenity	fuel	1	پمپ بنزینs
amenity	hospital	0	بیمارستان
amenity	hospital	1	بیمارستانs
amenity	hotel	0	هتل
amenity	hotel	1	هتلs
amenity	kindergarten	0	کودکستان
amenity	kindergarten	1	کودکستانs
amenity	library	0	کتابخانه
amenity	library	1	کتابخانهs
amenity	market	0	بازار
amenity	market	1	بازارs
amenity	marketplace	0	بازار
amenity	marketplace	1	بازارs
amenity	office	0	دفتر
amenity	office	1	دفترs
amenity	park	0	پارک
amenity	park	1	پارکs
amenity	parking	0	پارکینگ
amenity	parking	1	پارکینگs
amenity	pharmacy	0	داروخانه
amenity	pharmacy	1	داروخانهs
amenity	police	0	پلیس
amenity	police	1	پلیسs
amenity	post_box	0	صندوق پست
amenity	post_box	1	صندوق پستs
amenity	post_office	0	اداره پست
amenity	post_office	1	اداره پستs
amenity	prison	0	زندان
amenity	prison	1	زندانs
amenity	pub	0	میخانه
amenity	pub	1	میخانهs
amenity	recycling	0	بازیافت
amenity	recycling	1	بازیافتs
amenity	restaurant	0	رستوران
amenity	restaurant	1	رستورانs
amenity	school	0	مدرسه
amenity	school	1	مدرسهs
amenity	supermarket	0	سوپرمارکت
amenity	supermarket	1	سوپرمارکتs
amenity	taxi	0	تاکسی
amenity	taxi	1	تاکسیs
amenity	theatre	0	تئاتر
amenity	theatre	1	تئاترs
amenity	townhall	0	شهر داری
amenity	townhall	1	شهر داریs
amenity	university	0	دانشگاه
amenity	university	1	دانشگاهs
amenity	waste_basket	0	سطل اشغال
amenity	waste_basket	1	سطل اشغالs
building	garage	0	گاراژ
building	garage	1	گاراژs
building	hotel	0	هتل
building	hotel	1	هتلs
building	house	0	خانه
building	house	1	خانهs
