key	value	is_plural	phrase
aeroway	aerodrome	0	repülőtér
aeroway	aerodrome	1	repülőterek
amenity	arts_centre	0	művészeti központ
amenity	arts_centre	1	művészeti központok
amenity	atm	0	bankautomata
amenity	atm	1	bankautomaták
amenity	auditorium	0	auditórium
amenity	auditorium	1	auditóriumok
amenity	bank	0	bank
amenity	bank	1	bankok
amenity	bar	0	bár
amenity	bar	1	bárok
amenity	bench	0	pad
amenity	bench	1	padok
amenity	bicycle_parking	0	kerékpártároló
amenity	bicycle_parking	1	kerékpártárolók
amenity	bicycle_rental	0	kerékpárkölcsönző
amenity	bicycle_rental	1	kerékpárkölcsönzők
amenity	brothel	0	bordélyház
amenity	brothel	1	bordélyházak
amenity	bureau_de_change	0	pénzváltó
amenity	bureau_de_change	1	pénzváltók
amenity	bus_station	0	autóbusz-állomás
amenity	bus_station	1	autóbusz-állomások
amenity	cafe	0	kávézó
amenity	cafe	1	kávézók
amenity	car_rental	0	autókölcsönző
amenity	car_rental	1	autókölcsönzők
amenity	car_sharing	0	autómegosztó
amenity	car_sharing	1	autómegosztók
amenity	car_wash	0	autómosó
amenity	car_wash	1	autómosók
amenity	casino	0	kaszinó
amenity	casino	1	kaszinók
amenity	cinema	0	mozi
amenity	cinema	1	mozik
amenity	clinic	0	klinika
amenity	clinic	1	klinikasák
amenity	club	0	klub
amenity	club	1	klubok
amenity	college	0	fõiskola
amenity	college	1	főiskolák
amenity	community_centre	0	művelődési központ
amenity	community_centre	1	művelődési központok
amenity	courthouse	0	bíróság
amenity	courthouse	1	bíróságok
amenity	crematorium	0	krematórium
amenity	crematorium	1	krematóriumok
amenity	dentist	0	fogorvos
amenity	dentist	1	fogorvosok
amenity	doctors	0	orvosi rendelő
amenity	doctors	1	orvosi rendelők
amenity	dormitory	0	kollégium
amenity	dormitory	1	kollégiumok
amenity	drinking_water	0	ivóvíz
amenity	drinking_water	1	ivóvizek
amenity	driving_school	0	autósiskola
amenity	driving_school	1	autósiskolák
amenity	embassy	0	nagykövetség
amenity	embassy	1	nagykövetségek
amenity	emergency_phone	0	segélyhívó
amenity	emergency_phone	1	segélyhívók
amenity	fast_food	0	gyorsétterem
amenity	fast_food	1	gyorséttermek
amenity	ferry_terminal	0	kompkikötő
amenity	ferry_terminal	1	kompkikötők
amenity	fire_hydrant	0	tűzcsap
amenity	fire_hydrant	1	tűzcsapok
amenity	fire_station	0	tűzoltóság
amenity	fire_station	1	tűzoltóságok
amenity	fountain	0	szökőkút
amenity	fountain	1	szökőkutak
amenity	fuel	0	benzinkút
amenity	fuel	1	benzinkutak
amenity	grave_yard	0	kis temető
amenity	grave_yard	1	kis temetők
amenity	gym	0	fitness- / tornaterem
amenity	gym	1	fitness- / tornatermek
amenity	hall	0	csarnok
amenity	hall	1	csarnokok
amenity	health_centre	0	egészségügyi központ
amenity	health_centre	1	egészségügyi központok
amenity	hospital	0	kórház
amenity	hospital	1	kórházak
amenity	hotel	0	szálloda
amenity	hotel	1	szállodák
amenity	hunting_stand	0	magasles
amenity	hunting_stand	1	magaslesek
amenity	ice_cream	0	jégkrém
amenity	ice_cream	1	jégkrémek
amenity	kindergarten	0	óvoda
amenity	kindergarten	1	óvodák
amenity	library	0	könyvtár
amenity	library	1	könyvtárak
amenity	market	0	piac
amenity	market	1	piacok
amenity	marketplace	0	vásártér
amenity	marketplace	1	vásárterek
amenity	mountain_rescue	0	hegyimentő
amenity	mountain_rescue	1	hegyimentők
amenity	nightclub	0	éjszakai bár
amenity	nightclub	1	éjszakai bárok
amenity	nursery	0	óvoda
amenity	nursery	1	óvodák
amenity	nursing_home	0	idősek otthona
amenity	nursing_home	1	idősek otthonai
amenity	office	0	iroda
amenity	office	1	irodák
amenity	park	0	park
amenity	park	1	parkok
amenity	parking	0	parkoló
amenity	parking	1	parkolók
amenity	pharmacy	0	gyógyszertár
amenity	pharmacy	1	gyógyszertárak
amenity	place_of_worship	0	vallási hely
