key	value	is_plural	phrase
aeroway	aerodrome	0	lotnisko
aeroway	aerodrome	1	lotniska
amenity	atm	0	bankomat
amenity	atm	1	bankomaty
amenity	bank	0	bank
amenity	bank	1	banki
amenity	fast_food	0	bar
amenity	fast_food	1	bary
amenity	bicycle_parking	0	parking rowerowy
amenity	bicycle_parking	1	parkingi rowerowe
amenity	bicycle_rental	0	wypożyczalnia rowerów
amenity	bicycle_rental	1	wypożyczalnie rowerów
amenity	brothel	0	burdel
amenity	brothel	1	burdele
amenity	bureau_de_change	0	kantor
amenity	bureau_de_change	1	kantory
amenity	bus_station	0	dworzec autobusowy
amenity	bus_station	1	dworce autobusowe
amenity	cafe	0	kawiarnia
amenity	cafe	1	kawiarnie
amenity	car_rental	0	wypożyczalnia samochodów
amenity	car_rental	1	wypożyczalnie samochodów
amenity	car_wash	0	myjnia samochodowa
amenity	car_wash	1	myjnie samochodowe
amenity	casino	0	kasyno
amenity	casino	1	kasyna
amenity	cinema	0	kino
amenity	cinema	1	kina
amenity	doctors	0	przychodnia
amenity	doctors	1	przychodnie
amenity	club	0	klub
amenity	club	1	klubs
amenity	college	0	uczelnia
amenity	college	1	uczelnias
amenity	courthouse	0	sąd
amenity	courthouse	1	sąds
amenity	crematorium	0	krematorium
amenity	crematorium	1	krematoriums
amenity	dentist	0	gabinet dentystyczny
amenity	dentist	1	gabinet dentystycznys
amenity	dormitory	0	bursa
amenity	dormitory	1	bursas
amenity	drinking_water	0	źródło wody pitnej
amenity	drinking_water	1	źródło wody pitnejs
amenity	driving_school	0	nauka jazdy
amenity	driving_school	1	nauka jazdys
amenity	embassy	0	ambasada
amenity	embassy	1	ambasadas
emergency	phone	0	telefon alarmowy
amenity	emergency_phone	1	telefon alarmowys
amenity	fast_food	0	fast food
amenity	fast_food	1	fast foods
amenity	ferry_terminal	0	terminal promowy
amenity	ferry_terminal	1	terminal promowys
amenity	fire_hydrant	0	hydrant
amenity	fire_hydrant	1	hydrants
amenity	fire_station	0	remiza strażacka
amenity	fire_station	1	remiza strażackas
amenity	fountain	0	fontanna
amenity	fountain	1	fontannas
amenity	fuel	0	stacja benzynowa
amenity	fuel	1	stacja benzynowas
amenity	gym	0	centrum fitness / sala gimnastyczna
amenity	gym	1	centrum fitness / sala gimnastycznas
amenity	hospital	0	szpital
amenity	hospital	1	szpitale
amenity	hotel	0	hotel
amenity	hotel	1	hotele
amenity	ice_cream	0	lodziarnia
amenity	ice_cream	1	lodziarnias
amenity	kindergarten	0	przedszkole
amenity	kindergarten	1	przedszkola
amenity	library	0	biblioteka
amenity	library	1	bibliotekas
amenity	marketplace	0	targowisko
amenity	marketplace	1	targowiska
amenity	nightclub	0	klub nocny
amenity	nightclub	1	klub nocnys
amenity	nursery	0	żłobek
amenity	nursery	1	żłobeks
amenity	nursing_home	0	dom opieki
amenity	nursing_home	1	dom opiekis
amenity	office	0	biuro
amenity	office	1	biuros
amenity	park	0	park
amenity	park	1	parks
amenity	parking	0	parking
amenity	parking	1	parkings
amenity	pharmacy	0	apteka
amenity	pharmacy	1	aptekas
amenity	place_of_worship	0	miejsce kultu
amenity	place_of_worship	1	miejsce kultus
amenity	police	0	posterunek policji
amenity	police	1	posterunek policjis
amenity	post_box	0	skrzynka pocztowa
amenity	post_box	1	skrzynka pocztowas
amenity	post_office	0	poczta
amenity	post_office	1	pocztas
amenity	prison	0	więzienie
amenity	prison	1	więzienies
amenity	pub	0	pub
amenity	pub	1	pubs
amenity	recycling	0	miejsce recyklingu
amenity	recycling	1	miejsce recyklingus
amenity	restaurant	0	restauracja
amenity	restaurant	1	restauracje
amenity	retirement_home	0	dom starców
amenity	retirement_home	1	dom starcóws
amenity	sauna	0	sauna
amenity	sauna	1	saunas
amenity	school	0	szkoła
amenity	school	1	szkołas
amenity	shelter	0	schron
amenity	shelter	1	schrons
amenity	supermarket	0	supermarket
amenity	supermarket	1	supermarkety
amenity	taxi	0	postój taksówek
amenity	taxi	1	postój taksóweks
amenity	telephone	0	budka telefoniczna
amenity	telephone	1	budka telefonicznas
amenity	theatre	0	teatr
amenity	theatre	1	teatrs
amenity	toilets	0	toaleta publiczna
amenity	toilets	1	toaleta publicznas
amenity	townhall	0	urząd miejski
amenity	townhall	1	urząd miejskis
amenity	university	0	uniwersytet
amenity	university	1	uniwersytets
amenity	veterinary	0	weterynarz
amenity	veterinary	1	weterynarze
amenity	townhall	0	urząd gminy
amenity	village_hall	1	urząd gminys
internet_access	wlan	0	wifi
internet_access	wlan	1	wifi
building	apartments	0	blok mieszkalny
building	apartments	1	blok mieszkalnys
building	block	0	budynek bloku
building	block	1	budynek blokus
building	bunker	0	bunkier
building	bunker	1	bunkiers
building	chapel	0	kaplica
building	chapel	1	kaplicas
building	church	0	kościół
building	church	1	kościoły
building	city_hall	0	ratusz
building	city_hall	1	ratusze
building	commercial	0	budynek handlowy
building	commercial	1	budynki handlowe
building	dormitory	0	bursa
building	dormitory	1	bursas
building	entrance	0	wejście do budynku
building	entrance	1	wejście do budynkus
building	faculty	0	budynek prawny
building	faculty	1	budynek prawnys
building	farm	0	budynek gospodarczy
building	farm	1	budynek gospodarczys
building	flats	0	mieszkania
building	flats	1	mieszkanias
building	garage	0	garaż
building	garage	1	garaże
building	hall	0	hala
building	hall	1	halas
building	hospital	0	budynek szpitala
building	hospital	1	budynek szpitalas
building	hotel	0	hotel
building	hotel	1	hotels
building	house	0	dom
building	house	1	doms
building	industrial	0	budynek przemysłowy
building	industrial	1	budynek przemysłowys
building	office	0	budynek biurowy
building	office	1	budynek biurowys
building	public	0	budynek publiczny
building	public	1	budynek publicznys
building	residential	0	budynek mieszkalny
building	residential	1	budynek mieszkalnys
building	retail	0	budynek detaliczny
building	retail	1	budynek detalicznys
building	school	0	budynek szkoły
building	school	1	budynek szkołys
building	stadium	0	stadion
building	stadium	1	stadions
building	tower	0	wieża
building	tower	1	wieżas
building	train_station	0	stacja kolejowa
building	train_station	1	stacja kolejowas
building	university	0	budynek uniwersytetu
building	university	1	budynek uniwersytetus
highway	bus_stop	0	przystanek autobusowy
highway	bus_stop	1	przystanek autobusowys
highway	construction	0	droga w budowie
highway	construction	1	drogi w budowie
highway	cycleway	0	droga rowerowa
highway	cycleway	1	drogi rowerowe
highway	ford	0	bród
highway	ford	1	bróds
highway	living_street	0	strefa zamieszkania
highway	living_street	1	strefa zamieszkanias
highway	motorway	0	autostrada
highway	motorway	1	autostrady
highway	motorway_junction	0	skrzyżowanie autostrad
highway	motorway_junction	1	skrzyżowanie autostrads
highway	path	0	ścieżka
highway	path	1	ścieżki
highway	pedestrian	0	deptak
highway	pedestrian	1	deptaki
highway	primary	0	droga krajowa
highway	primary	1	droga krajowas
highway	raceway	0	tor wyścigowy
highway	raceway	1	tor wyścigowys
highway	secondary	0	droga wojewódzka
highway	secondary	1	droga wojewódzkas
highway	tertiary	0	droga powiatowa
highway	tertiary	1	droga powiatowas
highway	trunk	0	droga ekspresowa
highway	trunk	1	droga ekspresowas
highway	trunk_link	0	droga ekspresowa - dojazd
highway	trunk_link	1	droga ekspresowa - dojazds
historic	boundary_stone	0	kamień graniczny
historic	boundary_stone	1	kamienie graniczne
historic	castle	0	zamek
historic	castle	1	zameki
historic	manor	0	dwór
historic	manor	1	dwory
historic	memorial	0	pomnik
historic	memorial	1	pomniki
historic	mine	0	kopalnia
historic	mine	1	kopalnias
historic	monument	0	pomnik
historic	monument	1	pomniki
historic	museum	0	muzeum
historic	museum	1	muzeums
historic	ruins	0	ruiny
historic	ruins	1	ruinys
historic	tower	0	wieża
historic	tower	1	wieżas
historic	wreck	0	wrak
historic	wreck	1	wraks
landuse	allotments	0	ogródki działkowe
landuse	allotments	1	ogródki działkowe
landuse	cemetery	0	cmentarz
landuse	cemetery	1	cmentarzs
landuse	construction	0	teren budowy
landuse	construction	1	tereny budów
landuse	farm	0	farma
landuse	farm	1	farmas
landuse	farmyard	0	podwórze gospodarskie
landuse	farmyard	1	podwórze gospodarskies
landuse	forest	0	las
landuse	forest	1	lass
landuse	greenfield	0	tereny niezagospodarowane
landuse	greenfield	1	tereny niezagospodarowanes
landuse	industrial	0	teren przemysłowy
landuse	industrial	1	teren przemysłowys
landuse	landfill	0	wysypisko śmieci
landuse	landfill	1	wysypisko śmiecis
landuse	meadow	0	łąka
landuse	meadow	1	łąkas
landuse	military	0	teren wojskowy
landuse	military	1	teren wojskowys
landuse	mine	0	kopalnia
landuse	mine	1	kopalnias
landuse	nature_reserve	0	rezerwat przyrody
landuse	nature_reserve	1	rezerwat przyrodys
landuse	park	0	park
landuse	park	1	parki
landuse	quarry	0	kamieniołom
landuse	quarry	1	kamieniołomy
landuse	vineyard	0	winnica
landuse	vineyard	1	winnice
landuse	wetland	0	tereny podmokłe
landuse	wetland	1	tereny podmokłe
leisure	fishing	0	łowisko
leisure	fishing	1	łowiska
leisure	garden	0	ogród
leisure	garden	1	ogróds
leisure	golf_course	0	pole golfowe
leisure	golf_course	1	pole golfowes
leisure	ice_rink	0	lodowisko
leisure	ice_rink	1	lodowiskos
leisure	marina	0	marina
leisure	marina	1	marinas
leisure	park	0	park
leisure	park	1	parks
leisure	pitch	0	boisko sportowe
leisure	pitch	1	boisko sportowes
leisure	playground	0	plac zabaw
leisure	playground	1	plac zabaws
leisure	slipway	0	pochylnia
leisure	slipway	1	pochylnias
leisure	stadium	0	stadion
leisure	stadium	1	stadions
leisure	swimming_pool	0	basen
leisure	swimming_pool	1	basens
leisure	track	0	bieżnia
leisure	track	1	bieżnias
leisure	water_park	0	park wodny
leisure	water_park	1	park wodnys
natural	bay	0	zatoka
natural	bay	1	zatokas
natural	beach	0	plaża
natural	beach	1	plażas
natural	cape	0	przylądek
natural	cape	1	przylądeks
natural	cave_entrance	0	wejście do jaskini
natural	cave_entrance	1	wejście do jaskinis
natural	cliff	0	urwisko
natural	cliff	1	urwiskos
natural	crater	0	krater
natural	crater	1	kraters
natural	fell	0	hale górskie
natural	fell	1	hale górskies
natural	fjord	0	fiord
natural	fjord	1	fiords
natural	geyser	0	gejzer
natural	geyser	1	gejzers
natural	glacier	0	lodowiec
natural	glacier	1	lodowiecs
natural	heath	0	wrzosowisko
natural	heath	1	wrzosowiskos
natural	island	0	wyspa
natural	island	1	wyspas
natural	marsh	0	bagno
natural	marsh	1	bagnos
natural	moor	0	torfowisko
natural	moor	1	torfowiskos
natural	peak	0	szczyt
natural	peak	1	szczyts
natural	reef	0	rafa
natural	reef	1	rafas
natural	ridge	0	grzbiet
natural	ridge	1	grzbiets
natural	river	0	rzeka
natural	river	1	rzekas
natural	rock	0	skała
natural	rock	1	skałas
natural	scree	0	zsypisko
natural	scree	1	zsypiskos
natural	shoal	0	mielizna
natural	shoal	1	mieliznas
natural	spring	0	źródło
natural	spring	1	źródłos
natural	strait	0	cieśnina
natural	strait	1	cieśninas
natural	tree	0	drzewo
natural	tree	1	drzewos
natural	valley	0	dolina
natural	valley	1	dolinas
natural	volcano	0	wulkan
natural	volcano	1	wulkans
natural	wood	0	puszcza
natural	wood	1	puszczas
place	city	0	miasto
place	city	1	miastos
place	country	0	kraj
place	country	1	krajs
place	county	0	powiat
place	county	1	powiats
place	farm	0	farma
place	farm	1	farmas
place	hamlet	0	osada
place	hamlet	1	osadas
place	house	0	dom
place	house	1	doms
place	houses	0	zabudowanie
place	houses	1	zabudowanies
place	island	0	wyspa
place	island	1	wyspas
place	islet	0	wysepka
place	islet	1	wysepkas
place	locality	0	rejon
place	locality	1	rejons
place	moor	0	torfowisko
place	moor	1	torfowiskos
place	municipality	0	gmina
place	municipality	1	gminas
place	postcode	0	kod pocztowy
place	postcode	1	kod pocztowys
place	region	0	rejon
place	region	1	rejons
place	sea	0	morze
place	sea	1	morzes
place	state	0	stan
place	state	1	stans
place	subdivision	0	dzielnica
place	subdivision	1	dzielnicas
place	suburb	0	osiedle
place	suburb	1	osiedles
place	town	0	miasteczko
place	town	1	miasteczkos
place	unincorporated_area	0	obszar bez osobowości prawnej
place	unincorporated_area	1	obszar bez osobowości prawnejs
place	village	0	wieś
place	village	1	wieśs
railway	abandoned	0	dawna linia kolejowa
railway	abandoned	1	dawna linia kolejowas
railway	construction	0	budowana linia kolejowa
railway	construction	1	budowana linia kolejowas
railway	disused	0	nieczynna trasa kolejowa
railway	disused	1	nieczynna trasa kolejowas
railway	disused_station	0	nieużywana stacja kolejowa
railway	disused_station	1	nieużywana stacja kolejowas
railway	funicular	0	kolejka linowa
railway	funicular	1	kolejka linowas
railway	halt	0	przystanek kolejowy
railway	halt	1	przystanek kolejowys
railway	historic_station	0	historyczna stacja kolejowa
railway	historic_station	1	historyczna stacja kolejowas
railway	junction	0	węzeł kolejowy
railway	junction	1	węzeł kolejowys
railway	level_crossing	0	przejazd kolejowy
railway	level_crossing	1	przejazd kolejowys
railway	light_rail	0	lekka kolej
railway	light_rail	1	lekka kolejs
railway	monorail	0	kolej jednoszynowa
railway	monorail	1	kolej jednoszynowas
railway	narrow_gauge	0	kolej wąskotorowa
railway	narrow_gauge	1	kolej wąskotorowas
railway	platform	0	peron
railway	platform	1	perons
railway	preserved	0	kolej zabytkowa
railway	preserved	1	kolej zabytkowas
railway	spur	0	bocznica kolejowa
railway	spur	1	bocznica kolejowas
railway	station	0	stacja kolejowa
railway	station	1	stacja kolejowas
railway	subway	0	stacja metra
railway	subway	1	stacja metras
railway	subway_entrance	0	wejście na stację metra
railway	subway_entrance	1	wejście na stację metras
railway	switch	0	zwrotnica
railway	switch	1	zwrotnicas
railway	tram	0	linia tramwajowa
railway	tram	1	linia tramwajowas
railway	tram_stop	0	przystanek tramwajowy
railway	tram_stop	1	przystanek tramwajowys
railway	yard	0	jard kolejowy
railway	yard	1	jard kolejowys
shop	alcohol	0	sklep monopolowy
shop	alcohol	1	sklep monopolowys
shop	apparel	0	sklep odzieżowy
shop	apparel	1	sklep odzieżowys
shop	art	0	sklep z dziełami sztuki
shop	art	1	sklep z dziełami sztukis
shop	bakery	0	piekarnia
shop	bakery	1	piekarnias
shop	beauty	0	salon kosmetyczny
shop	beauty	1	salon kosmetycznys
shop	beverages	0	sklep z napojami
shop	beverages	1	sklep z napojamis
shop	bicycle	0	sklep rowerowy
shop	bicycle	1	sklep rowerowys
shop	books	0	księgarnia
shop	books	1	księgarnias
shop	butcher	0	rzeźnik
shop	butcher	1	rzeźniks
shop	car	0	sklep samochodowy
shop	car	1	sklep samochodowys
shop	car_dealer	0	salon samochodowy
shop	car_dealer	1	salon samochodowys
shop	car_parts	0	sklep z częściami samochodowymi
