key	value	is_plural	phrase
amenity	bank	0	بانک
amenity	bank	1	بانکs
amenity	clinic	0	کلينيک
amenity	clinic	1	کلينيکs
amenity	college	0	پوهنځی
amenity	college	1	پوهنځیs
amenity	embassy	0	سفارت
amenity	embassy	1	سفارتs
amenity	hospital	0	روغتون
amenity	hospital	1	روغتونs
amenity	hotel	0	هوټل
amenity	hotel	1	هوټلs
amenity	park	0	پارک
amenity	park	1	پارکs
amenity	pharmacy	0	درملتون
amenity	pharmacy	1	درملتونs
amenity	police	0	پوليس
amenity	police	1	پوليسs
amenity	school	0	ښوونځی
amenity	school	1	ښوونځیs
amenity	shop	0	هټۍ
amenity	shop	1	هټۍs
amenity	theatre	0	نندارتون
amenity	theatre	1	نندارتونs
building	hotel	0	هوټل
building	hotel	1	هوټلs
building	shop	0	هټۍ
building	shop	1	هټۍs
building	stadium	0	لوبغالی
building	stadium	1	لوبغالیs
building	tower	0	برج
building	tower	1	برجs
highway	bus_stop	0	تمځای
highway	bus_stop	1	تمځایs
highway	road	0	واټ
highway	road	1	واټs
historic	castle	0	ماڼۍ
historic	castle	1	ماڼۍs
historic	church	0	کليسا
historic	church	1	کليساs
historic	house	0	کور
historic	house	1	کورs
historic	museum	0	موزيم
historic	museum	1	موزيمs
historic	tower	0	برج
historic	tower	1	برجs
landuse	cemetery	0	هديره
landuse	cemetery	1	هديرهs
landuse	forest	0	ځنګل
landuse	forest	1	ځنګلs
landuse	park	0	پارک
landuse	park	1	پارکs
leisure	park	0	پارک
leisure	park	1	پارکs
natural	hill	0	غونډۍ
natural	hill	1	غونډۍs
natural	island	0	ټاپو
natural	island	1	ټاپوs
natural	peak	0	څوکه
natural	peak	1	څوکهs
natural	tree	0	ونه
natural	tree	1	ونهs
natural	valley	0	دره
natural	valley	1	درهs
natural	water	0	اوبه
natural	water	1	اوبهs
aeroway	aerodrome	0	هوايي ډګر
aeroway	aerodrome	1	هوايي ډګرs
place	city	0	ښار
place	city	1	ښارs
place	country	0	هېواد
place	country	1	هېوادs
place	farm	0	فارم
place	farm	1	فارمs
place	house	0	کور
place	house	1	کورs
place	houses	0	کورونه
place	houses	1	کورونهs
place	island	0	ټاپو
place	island	1	ټاپوs
place	region	0	سيمه
place	region	1	سيمهs
place	town	0	ښارګوټی
place	town	1	ښارګوټیs
place	village	0	کلی
place	village	1	کلیs
shop	bakery	0	بټيارۍ
shop	bakery	1	بټيارۍs
shop	gallery	0	ګالېري
shop	gallery	1	ګالېريs
tourism	guest_house	0	مېلمستون
tourism	guest_house	1	مېلمستونs
tourism	hostel	0	ليليه
tourism	hostel	1	ليليهs
tourism	hotel	0	هوټل
tourism	hotel	1	هوټلs
tourism	information	0	مالومات
tourism	information	1	مالوماتs
tourism	museum	0	موزيم
tourism	museum	1	موزيمs
tourism	picnic_site	0	مېله ځای
tourism	picnic_site	1	مېله ځایs
tourism	valley	0	دره
tourism	valley	1	درهs
tourism	zoo	0	ژوبڼ
tourism	zoo	1	ژوبڼs
