key	value	is_plural	phrase
aeroway	aerodrome	0	аэропорт
aeroway	aerodrome	1	аэропорты
amenity	arts_centre	0	дом искусств
amenity	arts_centre	1	дома искусств
amenity	atm	0	банкомат
amenity	atm	1	банкоматы
amenity	auditorium	0	аудитория
amenity	auditorium	1	аудитории
amenity	bank	0	банк
amenity	bank	1	банки
amenity	bar	0	бар
amenity	bar	1	бары
amenity	bench	0	скамья
amenity	bench	1	скамьи
amenity	bicycle_parking	0	велопарковка
amenity	bicycle_parking	1	велопарковки
amenity	bicycle_rental	0	прокат велосипедов
amenity	bicycle_rental	1	прокат велосипедов
amenity	brothel	0	бордель
amenity	brothel	1	бордели
amenity	bureau_de_change	0	обмен валют
amenity	bureau_de_change	1	обмен валют
amenity	bus_station	0	автобусная станция
amenity	bus_station	1	автобусные станции
amenity	cafe	0	кафе
amenity	cafe	1	кафе
amenity	car_rental	0	аренда автомобилей
amenity	car_rental	1	аренда автомобилей
amenity	car_sharing	0	прокат автомобилей
amenity	car_sharing	1	прокат автомобилей
amenity	car_wash	0	автомойка
amenity	car_wash	1	автомойки
amenity	casino	0	казино
amenity	casino	1	казино
amenity	cinema	0	кинотеатр
amenity	cinema	1	кинотеатры
amenity	clinic	0	поликлиника
amenity	clinic	1	поликлиники
amenity	club	0	клуб
amenity	club	1	клубы
amenity	college	0	колледж
amenity	college	1	колледжи
amenity	community_centre	0	общественный центр
amenity	community_centre	1	общественные центры
amenity	courthouse	0	помещение суда
amenity	courthouse	1	помещения судов
amenity	crematorium	0	крематорий
amenity	crematorium	1	крематории
amenity	dentist	0	стоматология
amenity	dentist	1	стоматологии
amenity	doctors	0	врач
amenity	doctors	1	врачи
amenity	dormitory	0	общежитие
amenity	dormitory	1	общежития
amenity	drinking_water	0	питьевая вода
amenity	drinking_water	1	питьевая вода
amenity	driving_school	0	автошкола
amenity	driving_school	1	автошколы
amenity	embassy	0	посольство
amenity	embassy	1	посольства
amenity	emergency_phone	0	телефон экстренных служб
amenity	emergency_phone	1	телефоны экстренных служб
amenity	fast_food	0	палатка с едой
amenity	fast_food	1	палатки с едой
amenity	ferry_terminal	0	паромная станция
amenity	ferry_terminal	1	паромные станции
amenity	fire_hydrant	0	пожарный гидрант
amenity	fire_hydrant	1	пожарные гидранты
amenity	fire_station	0	пожарная охрана
amenity	fire_station	1	пожарная охрана
amenity	fountain	0	фонтан
amenity	fountain	1	фонтаны
amenity	fuel	0	заправка
amenity	fuel	1	заправки
amenity	grave_yard	0	место захоронения
amenity	grave_yard	1	места захоронения
amenity	gym	0	тренажерный зал
amenity	gym	1	тренажерные залы
amenity	hall	0	холл
amenity	hall	1	холлы
amenity	health_centre	0	оздоровительный центр
amenity	health_centre	1	оздоровительные центры
amenity	hospital	0	госпиталь
amenity	hospital	1	госпитали
amenity	hotel	0	гостиница
amenity	hotel	1	гостиницы
amenity	hunting_stand	0	охотничья вышка
amenity	hunting_stand	1	охотничьи вышки
amenity	ice_cream	0	мороженное
amenity	ice_cream	1	мороженное
amenity	kindergarten	0	детский сад
amenity	kindergarten	1	детские сады
amenity	library	0	библиотека
amenity	library	1	библиотеки
amenity	market	0	магазин
amenity	market	1	магазины
amenity	marketplace	0	рыночная площадь
amenity	marketplace	1	рыночные площади
amenity	mountain_rescue	0	горная спасательная служба
amenity	mountain_rescue	1	горные спасательные службы
amenity	nightclub	0	ночной клуб
amenity	nightclub	1	ночные клубы
amenity	nursery	0	пансионат
amenity	nursery	1	пансионаты
amenity	nursing_home	0	дом престарелых
amenity	nursing_home	1	дома престарелых
amenity	office	0	офис
amenity	office	1	офисы
amenity	park	0	парк
amenity	park	1	парки
amenity	parking	0	стоянка
amenity	parking	1	стоянки
amenity	pharmacy	0	аптека
amenity	pharmacy	1	аптеки
amenity	place_of_worship	0	место поклонения
amenity	place_of_worship	1	места поклонений
amenity	police	0	полиция
amenity	police	1	полиция
amenity	post_box	0	почтовый ящик
amenity	post_box	1	почтовые ящики
amenity	post_office	0	почтовое отделение
amenity	post_office	1	почтовые отделения
amenity	preschool	0	дошкольное учреждение
amenity	preschool	1	дошкольные учреждения
amenity	prison	0	тюрьма
amenity	prison	1	тюрьмы
amenity	pub	0	паб
amenity	pub	1	пабы
amenity	public_building	0	общественное здание
amenity	public_building	1	общественные здания
amenity	public_market	0	городской рынок
amenity	public_market	1	городские рынки
amenity	reception_area	0	приёмная
amenity	reception_area	1	приёмные
amenity	recycling	0	место утилизации
amenity	recycling	1	места утилизации
amenity	restaurant	0	ресторан
amenity	restaurant	1	рестораны
amenity	retirement_home	0	дом престарелых
amenity	retirement_home	1	дома престарелых
amenity	sauna	0	сауна
amenity	sauna	1	сауны
amenity	school	0	школа
amenity	school	1	школы
amenity	shelter	0	укрытие
amenity	shelter	1	укрытия
amenity	shop	0	магазин
amenity	shop	1	магазины
amenity	shopping	0	торговый центр
amenity	shopping	1	торговые центры
amenity	social_club	0	сообщество
amenity	social_club	1	сообщества
amenity	studio	0	студия
amenity	studio	1	студии
amenity	supermarket	0	супермаркет
amenity	supermarket	1	супермаркеты
amenity	taxi	0	такси
amenity	taxi	1	такси
amenity	telephone	0	телефон
amenity	telephone	1	телефоны
amenity	theatre	0	театр
amenity	theatre	1	театры
amenity	toilets	0	туалет
amenity	toilets	1	туалеты
amenity	townhall	0	городская администрация
amenity	townhall	1	городская администрация
amenity	university	0	университет
amenity	university	1	университеты
amenity	vending_machine	0	торговый автомат
amenity	vending_machine	1	торговые автоматы
amenity	veterinary	0	ветеринарная клиника
amenity	veterinary	1	ветеринарные клиники
