cao đẳng|cao dang|cd|c d
câu lạc bộ |cau lac bo|clb|c l b
công ty cổ phần|cong ty co phan|ctcp|c t c p|cty cp|cty c p
công ty|cong ty|cty
công viên văn hóa|cong vien van hoa|cvvh|c v v h
công viên|cong vien|cv|c v
căn cứ không quân|can cu khong quan|cckq|c c k q
đại học|dai hoc|dh|d h
đường sắt|duong sat|ds|d s
khu công nghiệp|khu cong nghiep|kcn|k c n
khu du lịch|khu du lich|kdl|k d l
khu nghỉ mát|khu nghi mat|knm|k n m
khách sạn|khach san|ks|k / s
nhà hát|nha hat|nh|n h
nhà thi đấu|nha thi dau|ntd|n t d
nhà thờ|nha tho|nt|n t
phi trường|phi trong|pt|p t
rạp hát|rap hat|rh|r h
sân bay quốc tế|san bay quoc te|sbqt|s b q t
sân bay|san bay|sb|s b
sân vận động|san van dong|svd|s v d
tiểu học|tieu hoc|th|t h
trung học cơ sở|trung hoc co so|thcs|t h c s
trung học phổ thông|trung hoc pho thong|thpt|t h p t
trung tâm thương mại|trung tam thuong mai|tttm|t t t m
trung tâm|trung tam|tt|t t
tổng công ty|tong cong ty|tcty|tct
viện bảo tàng|vien bao tang|vbt|v b t
vươn quốc gia|vuon quoc gia|vqg|v q g
